win,lose,probability
Houston Rockets,Los Angeles Lakers,0.8280366017810671
New Orleans Pelicans,Orlando Magic,0.6926411413015992
San Antonio Spurs,Dallas Mavericks,0.6999595447964022
Brooklyn Nets,Boston Celtics,0.7475885329674765
Charlotte Hornets,Milwaukee Bucks,0.894901002948329
Denver Nuggets,Detroit Pistons,0.6932186069647831
Indiana Pacers,Philadelphia 76ers,0.9269457054916737
Memphis Grizzlies,Minnesota Timberwolves,0.6855065048984015
Miami Heat,Washington Wizards,0.634246353995702
Chicago Bulls,New York Knicks,0.6627840127523674
Phoenix Suns,Los Angeles Lakers,0.8244665485548054
Oklahoma City Thunder,Portland Trail Blazers,0.5059962903560549
Golden State Warriors,Sacramento Kings,0.7960722805021891
Toronto Raptors,Atlanta Hawks,0.7322110503934267
Houston Rockets,Utah Jazz,0.8620699761039676
New York Knicks,Cleveland Cavaliers,0.6204387196905565
Dallas Mavericks,Utah Jazz,0.8480098063451768
Los Angeles Clippers,Oklahoma City Thunder,0.5579122783784685
Minnesota Timberwolves,Detroit Pistons,0.7838899511522791
Washington Wizards,Orlando Magic,0.7575500054185441
Chicago Bulls,Cleveland Cavaliers,0.7225856390077279
Indiana Pacers,Memphis Grizzlies,0.5488009473665826
Los Angeles Clippers,Los Angeles Lakers,0.8722461989608656
Milwaukee Bucks,Philadelphia 76ers,0.5742433900657253
San Antonio Spurs,Phoenix Suns,0.6563959695319177
Portland Trail Blazers,Sacramento Kings,0.788255175367915
Indiana Pacers,Atlanta Hawks,0.631180729854135
Memphis Grizzlies,Charlotte Hornets,0.552912185151605
Brooklyn Nets,Detroit Pistons,0.6847429949621096
Golden State Warriors,Los Angeles Lakers,0.8520309233529462
Houston Rockets,Boston Celtics,0.8805950584693716
Chicago Bulls,Minnesota Timberwolves,0.5952556422023941
Dallas Mavericks,New Orleans Pelicans,0.7186344591612446
Oklahoma City Thunder,Denver Nuggets,0.8190744207427638
Toronto Raptors,Orlando Magic,0.8120195250956771
Miami Heat,Philadelphia 76ers,0.8905871322566469
Phoenix Suns,Utah Jazz,0.8049160817622544
Washington Wizards,Milwaukee Bucks,0.8990385194772973
Los Angeles Clippers,Sacramento Kings,0.8769437423712448
Miami Heat,Toronto Raptors,0.5564051880523322
Charlotte Hornets,New York Knicks,0.5192352299038656
Portland Trail Blazers,Golden State Warriors,0.5470768198239353
Oklahoma City Thunder,Brooklyn Nets,0.6861899995745
Dallas Mavericks,Boston Celtics,0.843822237627824
Denver Nuggets,Sacramento Kings,0.6410414149125523
Los Angeles Clippers,Utah Jazz,0.9096165369842543
