,0.5/mis_W,0.5/mis_L,0.6/mis_W,0.6/mis_L,0.7/mis_W,0.7/mis_L,0.8/mis_W,0.8/mis_L,0.9/mis_W,0.9/mis_L,pred_W,pred_L,true_W,true_L,W_L_delta,abs_W_L_delta
Atlanta Hawks,4,13,1,5,1,11,1,3,0,0,35,47,60,22,25,25
Boston Celtics,0,7,1,6,1,5,0,12,0,2,10,72,40,42,30,30
Brooklyn Nets,9,4,7,9,6,2,3,0,2,0,50,32,38,44,-12,12
Charlotte Hornets,10,4,5,6,3,0,4,0,1,0,46,36,33,49,-13,13
Chicago Bulls,7,3,7,8,3,6,3,0,0,0,53,29,50,32,-3,3
Cleveland Cavaliers,3,11,3,5,1,8,2,3,0,1,34,48,53,29,19,19
Dallas Mavericks,3,8,9,2,4,1,2,0,0,0,57,25,50,32,-7,7
Denver Nuggets,7,8,5,6,2,1,3,0,0,0,32,50,30,52,-2,2
Detroit Pistons,0,2,4,12,2,5,0,7,0,2,10,72,32,50,22,22
Golden State Warriors,4,7,1,9,2,1,0,0,0,0,57,25,67,15,10,10
Houston Rockets,5,6,6,8,2,2,2,0,0,0,55,27,56,26,1,1
Indiana Pacers,7,3,10,5,7,1,3,0,1,0,57,25,38,44,-19,19
Los Angeles Clippers,1,9,8,4,2,1,4,0,0,0,57,25,56,26,-1,1
Los Angeles Lakers,7,3,1,5,1,4,0,1,0,1,16,66,21,61,5,5
Memphis Grizzlies,6,8,6,7,3,1,2,0,2,0,58,24,55,27,-3,3
Miami Heat,10,6,5,2,7,0,5,0,6,0,62,20,37,45,-25,25
Milwaukee Bucks,3,2,0,4,0,10,0,10,0,9,9,73,41,41,32,32
Minnesota Timberwolves,11,4,9,2,4,2,5,0,0,0,37,45,16,66,-21,21
New Orleans Pelicans,3,13,3,5,2,4,1,4,0,1,27,55,45,37,18,18
New York Knicks,8,3,15,1,7,0,7,0,2,0,52,30,17,65,-35,35
Oklahoma City Thunder,4,2,7,0,8,1,3,0,1,0,65,17,45,37,-20,20
Orlando Magic,0,5,3,4,2,3,0,6,0,1,11,71,25,57,14,14
Philadelphia 76ers,4,1,2,5,0,6,0,2,0,2,8,74,18,64,10,10
Phoenix Suns,13,4,4,6,1,0,5,0,1,0,53,29,39,43,-14,14
Portland Trail Blazers,6,7,6,2,4,1,2,0,1,0,60,22,51,31,-9,9
Sacramento Kings,6,4,0,4,3,7,1,6,0,0,18,64,29,53,11,11
San Antonio Spurs,8,1,6,0,6,0,3,0,4,0,81,1,55,27,-26,26
Toronto Raptors,5,5,6,5,5,2,2,0,1,0,56,26,49,33,-7,7
Utah Jazz,0,5,3,7,0,8,0,9,0,3,9,73,38,44,29,29
Washington Wizards,7,3,8,7,5,1,0,0,0,0,55,27,46,36,-9,9
