win,lose,probability
Atlanta Hawks,Detroit Pistons,0.8331182826443146
Cleveland Cavaliers,Chicago Bulls,0.6587988576158712
Golden State Warriors,New Orleans Pelicans,0.8566723119109911
Boston Celtics,Philadelphia 76ers,0.8563248646190693
Chicago Bulls,Brooklyn Nets,0.5985790520920884
Utah Jazz,Detroit Pistons,0.565061878649596
Houston Rockets,Denver Nuggets,0.8653719373470264
Los Angeles Lakers,Minnesota Timberwolves,0.5891656286733936
Cleveland Cavaliers,Memphis Grizzlies,0.5987124217374644
Miami Heat,Charlotte Hornets,0.5987724353739606
Milwaukee Bucks,New York Knicks,0.822847084451073
Oklahoma City Thunder,San Antonio Spurs,0.5031204498844605
Washington Wizards,Orlando Magic,0.7406042927899468
Dallas Mavericks,Phoenix Suns,0.6025218715004103
Portland Trail Blazers,New Orleans Pelicans,0.592987963166423
Los Angeles Clippers,Sacramento Kings,0.8853788448387424
Toronto Raptors,Indiana Pacers,0.6007123703461107
Memphis Grizzlies,Indiana Pacers,0.524233559527117
Los Angeles Clippers,Dallas Mavericks,0.6798569219029549
Atlanta Hawks,New York Knicks,0.8977665750866315
Atlanta Hawks,Charlotte Hornets,0.8395050043486765
Boston Celtics,Toronto Raptors,0.536981407406142
Cleveland Cavaliers,Miami Heat,0.7754860914382454
Denver Nuggets,Minnesota Timberwolves,0.7721746381739331
Chicago Bulls,Detroit Pistons,0.6387816720482447
Golden State Warriors,Houston Rockets,0.6545437555957239
Milwaukee Bucks,Washington Wizards,0.552738156675288
Oklahoma City Thunder,Orlando Magic,0.7995127261348485
Utah Jazz,Philadelphia 76ers,0.8786259152469826
Portland Trail Blazers,Phoenix Suns,0.5907615808998945
Sacramento Kings,Los Angeles Lakers,0.6289585228457211
San Antonio Spurs,Brooklyn Nets,0.8653072331173435
Indiana Pacers,Utah Jazz,0.5088434454279996
Los Angeles Clippers,Sacramento Kings,0.7987897375677869
Memphis Grizzlies,Brooklyn Nets,0.789339950149341
Golden State Warriors,New Orleans Pelicans,0.8111689451852246
Portland Trail Blazers,Phoenix Suns,0.7377671276190058
Washington Wizards,New York Knicks,0.8792689569025945
San Antonio Spurs,Boston Celtics,0.5757675324908684
Chicago Bulls,Orlando Magic,0.8625180961189625
Atlanta Hawks,Charlotte Hornets,0.7599816219230062
Dallas Mavericks,Los Angeles Lakers,0.803882365648432
Houston Rockets,Miami Heat,0.8088487800562563
Oklahoma City Thunder,Denver Nuggets,0.7993269384953114
Toronto Raptors,Milwaukee Bucks,0.6709301588593243
Brooklyn Nets,Milwaukee Bucks,0.7081982490586559
Golden State Warriors,Memphis Grizzlies,0.826148904511487
Houston Rockets,Oklahoma City Thunder,0.7055959321204867
Los Angeles Clippers,Phoenix Suns,0.7933578743424071
Portland Trail Blazers,Minnesota Timberwolves,0.8316122470402296
San Antonio Spurs,New York Knicks,0.8957411406715796
Cleveland Cavaliers,Philadelphia 76ers,0.9531253418218524
Chicago Bulls,Charlotte Hornets,0.7646527797425194
Dallas Mavericks,Toronto Raptors,0.6101486323708939
Detroit Pistons,Indiana Pacers,0.6016048331690961
Denver Nuggets,Los Angeles Lakers,0.6141211312158703
Atlanta Hawks,Miami Heat,0.7389920874523307
New Orleans Pelicans,Orlando Magic,0.8013406491070312
Memphis Grizzlies,Sacramento Kings,0.7857384470020482
Atlanta Hawks,Brooklyn Nets,0.7657191682428078
Cleveland Cavaliers,New York Knicks,0.9085242671219353
Golden State Warriors,Los Angeles Clippers,0.6928801808719616
Houston Rockets,Orlando Magic,0.9014326945473057
Indiana Pacers,Boston Celtics,0.6177950478274391
Milwaukee Bucks,Philadelphia 76ers,0.8299200371882246
Oklahoma City Thunder,Toronto Raptors,0.6144604146675552
Phoenix Suns,Sacramento Kings,0.55222109435853
Portland Trail Blazers,Utah Jazz,0.5295833718435827
San Antonio Spurs,Washington Wizards,0.5139184963095735
Chicago Bulls,Oklahoma City Thunder,0.6218028835175374
Dallas Mavericks,Charlotte Hornets,0.8043222644217264
Utah Jazz,Denver Nuggets,0.6711685134917338
Miami Heat,Minnesota Timberwolves,0.7473426172535795
Portland Trail Blazers,Memphis Grizzlies,0.5366803012546978
Boston Celtics,Washington Wizards,0.6015133190960273
Brooklyn Nets,Los Angeles Lakers,0.8325196710497956
Cleveland Cavaliers,Philadelphia 76ers,0.9125400853826096
Golden State Warriors,Denver Nuggets,0.9426695491698648
Indiana Pacers,Miami Heat,0.6812897126010206
Atlanta Hawks,New Orleans Pelicans,0.5864709851549506
Milwaukee Bucks,New York Knicks,0.7134573246871759
Toronto Raptors,Orlando Magic,0.7879629562693115
Phoenix Suns,Detroit Pistons,0.630189003147423
Houston Rockets,Sacramento Kings,0.8642933860675011
Atlanta Hawks,Washington Wizards,0.721624526766131
Chicago Bulls,Minnesota Timberwolves,0.9096153584507631
Dallas Mavericks,New Orleans Pelicans,0.5870946054596726
Houston Rockets,Los Angeles Clippers,0.5235112815507996
Milwaukee Bucks,Brooklyn Nets,0.6090929341639623
Orlando Magic,Philadelphia 76ers,0.6266704578918154
Golden State Warriors,Sacramento Kings,0.9280980792872586
San Antonio Spurs,Charlotte Hornets,0.9113590468894232
Memphis Grizzlies,Utah Jazz,0.6136259791049415
Cleveland Cavaliers,Indiana Pacers,0.7665823172837296
Toronto Raptors,Miami Heat,0.6376643434001169
Los Angeles Lakers,New York Knicks,0.5486688217134585
Oklahoma City Thunder,Phoenix Suns,0.736565816283797
Portland Trail Blazers,Detroit Pistons,0.8007894025231767
Atlanta Hawks,Minnesota Timberwolves,0.9190965019755318
Portland Trail Blazers,Denver Nuggets,0.622871598961973
Golden State Warriors,Detroit Pistons,0.9428283478450777
Indiana Pacers,Orlando Magic,0.8171116692977682
Los Angeles Clippers,Memphis Grizzlies,0.6125101708262356
Chicago Bulls,Philadelphia 76ers,0.9078641412712943
San Antonio Spurs,Sacramento Kings,0.8065473049969607
Cleveland Cavaliers,Utah Jazz,0.6260304703208899
Miami Heat,Los Angeles Lakers,0.7184166701177684
Milwaukee Bucks,Boston Celtics,0.5498479181756447
Charlotte Hornets,Minnesota Timberwolves,0.6570769946566696
New Orleans Pelicans,Dallas Mavericks,0.5239872534255109
Toronto Raptors,New York Knicks,0.8198112871181328
Washington Wizards,Oklahoma City Thunder,0.5811190057152442
