,0.5/mis_W,0.5/mis_L,0.6/mis_W,0.6/mis_L,0.7/mis_W,0.7/mis_L,0.8/mis_W,0.8/mis_L,0.9/mis_W,0.9/mis_L,pred_W,pred_L,true_W,true_L,W_L_delta,abs_W_L_delta
Atlanta Hawks,7,5,7,5,7,0,5,0,1,0,60,22,43,39,-17,17
Boston Celtics,4,8,4,0,4,0,3,1,1,0,60,22,53,29,-7,7
Brooklyn Nets,3,2,0,5,1,4,0,7,0,0,6,76,20,62,14,14
Charlotte Hornets,8,4,4,2,9,0,3,0,2,0,56,26,36,46,-20,20
Chicago Bulls,6,8,8,8,2,4,2,2,0,0,37,45,41,41,4,4
Cleveland Cavaliers,8,2,9,1,6,0,3,0,0,0,74,8,51,31,-23,23
Dallas Mavericks,6,4,11,5,3,1,1,1,0,0,43,39,33,49,-10,10
Denver Nuggets,3,5,0,8,3,7,0,2,0,1,23,59,40,42,17,17
Detroit Pistons,8,5,10,6,3,1,2,0,1,0,49,33,37,45,-12,12
Golden State Warriors,0,1,2,0,1,0,4,0,7,0,80,2,67,15,-13,13
Houston Rockets,3,7,4,6,0,3,1,1,0,1,45,37,55,27,10,10
Indiana Pacers,7,5,6,3,5,1,3,0,1,0,55,27,42,40,-13,13
Los Angeles Clippers,3,2,5,3,7,0,6,2,2,0,67,15,51,31,-16,16
Los Angeles Lakers,1,2,0,3,0,10,0,5,0,5,2,80,26,56,24,24
Memphis Grizzlies,6,7,2,5,3,7,0,3,0,1,31,51,43,39,12,12
Miami Heat,6,4,5,2,8,2,2,0,2,0,56,26,41,41,-15,15
Milwaukee Bucks,2,6,0,10,3,9,0,4,0,1,17,65,42,40,25,25
Minnesota Timberwolves,5,7,1,7,2,6,1,2,0,1,17,65,31,51,14,14
New Orleans Pelicans,1,9,2,6,2,7,0,4,0,1,12,70,34,48,22,22
New York Knicks,3,9,5,8,0,7,2,2,0,0,15,67,31,51,16,16
Oklahoma City Thunder,1,3,13,0,5,0,7,0,1,0,71,11,47,35,-24,24
Orlando Magic,11,6,1,4,2,5,1,2,0,1,26,56,29,53,3,3
Philadelphia 76ers,0,3,0,0,0,6,0,9,0,10,0,82,28,54,28,28
Phoenix Suns,3,1,1,4,1,5,0,9,0,2,8,74,24,58,16,16
Portland Trail Blazers,7,1,10,5,6,2,1,1,1,0,57,25,41,41,-16,16
Sacramento Kings,8,3,2,5,2,5,1,4,0,1,27,55,32,50,5,5
San Antonio Spurs,2,0,2,1,2,0,10,0,5,0,81,1,61,21,-20,20
Toronto Raptors,7,0,4,2,8,0,3,0,2,0,73,9,51,31,-22,22
Utah Jazz,2,7,6,6,0,1,0,1,0,1,43,39,51,31,8,8
Washington Wizards,5,10,3,7,0,2,2,1,0,0,39,43,49,33,10,10
