Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Jeff Teague,0.216,25.0,-1.1,-2.0,1.9,0.362,2542.0,0.9,3.3,17.1,0.541,25.7,0.6,0.8800000000000001,0.475,ATL
Paul Millsap,0.202,28.0,3.1,2.4,4.0,0.373,2482.0,0.7,2.7,19.8,0.545,25.7,3.2,0.76,1.0,ATL
Kyle Korver,0.644,32.0,2.2,0.2,2.0,0.154,2408.0,2.0,3.9,13.5,0.653,14.2,2.5,1.0,0.5,ATL
DeMarre Carroll,0.417,27.0,2.1,1.1,2.6,0.22,2341.0,1.0,3.2,13.9,0.575,15.2,2.4,0.8600000000000001,0.65,ATL
Shelvin Mack,0.367,23.0,-2.4,-1.7,1.2,0.148,1490.0,-0.7,1.2,13.2,0.51,19.0,-0.1,0.45999999999999996,0.3,ATL
Mike Scott,0.318,25.0,-3.0,-2.3,1.2,0.21,1482.0,-0.7,1.3,15.3,0.559,23.5,-0.4,0.4800000000000001,0.3,ATL
Lou Williams,0.469,27.0,-1.8,-2.1,1.0,0.363,1445.0,0.3,1.6,14.2,0.547,20.9,0.1,0.54,0.25,ATL
Elton Brand,0.006,34.0,0.5,3.1,2.1,0.283,1414.0,-2.7,1.4,14.0,0.561,13.9,0.9,0.5,0.525,ATL
Al Horford,0.026,27.0,2.8,2.0,1.3,0.202,958.0,0.8,1.5,22.0,0.588,24.7,1.1,0.52,0.325,ATL
Pero Antic,0.582,31.0,-1.4,-0.9,0.9,0.224,925.0,-0.5,0.5,11.7,0.545,18.6,0.1,0.32,0.225,ATL
Cartier Martin,0.57,29.0,-2.9,-1.5,0.7,0.238,822.0,-1.3,0.4,10.9,0.555,17.5,-0.2,0.3,0.175,ATL
Dennis Schroder,0.223,20.0,-8.3,-2.1,0.4,0.229,641.0,-6.2,-1.1,5.8,0.442,19.0,-1.0,0.0,0.1,ATL
Gustavo Ayon,0.0,28.0,-0.2,3.0,0.7,0.196,429.0,-3.2,0.0,12.9,0.505,14.8,0.2,0.22000000000000003,0.175,ATL
Mike Muscala,0.041,22.0,-6.0,-0.4,0.2,0.192,215.0,-5.6,-0.1,10.8,0.48,19.3,-0.2,0.2,0.05,ATL
John Jenkins,0.429,22.0,-7.5,-1.8,0.1,0.095,158.0,-5.7,-0.2,4.7,0.457,15.8,-0.2,0.18000000000000002,0.025,ATL
James Nunnally,0.556,23.0,-8.1,-2.2,0.0,0.222,54.0,-5.9,-0.1,6.2,0.455,20.0,-0.1,0.2,0.0,ATL
Jared Cunningham,0.5,22.0,-12.4,-3.5,0.0,1.0,22.0,-8.8,-0.1,-1.8,0.347,10.1,-0.1,0.2,0.0,ATL
Dexter Pittman,0.0,25.0,-22.7,-17.3,0.0,2.0,3.0,-5.4,0.0,13.1,0.0,28.5,0.0,0.22000000000000003,0.0,ATL
