Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Jeff Green,0.338,27.0,-2.1,-1.3,2.0,0.304,2805.0,-0.7,1.3,13.1,0.52,23.6,0.0,0.5476190476190476,1.0,BOS
Brandon Bass,0.008,28.0,-1.2,0.2,1.9,0.33,2266.0,-1.3,3.2,15.0,0.549,18.2,0.5,1.0,0.95,BOS
Jared Sullinger,0.231,21.0,-0.3,-0.6,2.0,0.226,2041.0,0.3,1.9,16.4,0.497,24.1,0.9,0.6904761904761905,1.0,BOS
Avery Bradley,0.242,23.0,-2.5,-1.4,1.4,0.136,1855.0,-1.1,0.4,12.7,0.51,23.2,-0.2,0.3333333333333333,0.7,BOS
Gerald Wallace,0.278,31.0,-0.3,2.2,1.6,0.439,1416.0,-2.5,-0.3,10.0,0.543,11.6,0.6,0.16666666666666666,0.8,BOS
Kelly Olynyk,0.227,22.0,0.5,0.2,1.4,0.243,1400.0,0.3,1.5,15.2,0.546,21.0,0.9,0.5952380952380952,0.7,BOS
Kris Humphries,0.004,28.0,0.0,1.2,1.8,0.312,1376.0,-1.2,2.3,18.2,0.552,19.0,0.7,0.7857142857142856,0.9,BOS
Jordan Crawford,0.345,25.0,-0.3,-1.9,0.7,0.277,1198.0,1.6,1.7,15.7,0.525,22.0,0.5,0.6428571428571429,0.35,BOS
Phil Pressey,0.419,22.0,-4.4,-0.6,1.1,0.178,1132.0,-3.7,-1.0,8.8,0.39,14.1,-0.7,0.0,0.55,BOS
Jerryd Bayless,0.341,25.0,-1.7,-1.5,0.7,0.161,1036.0,-0.2,0.7,12.5,0.514,19.9,0.1,0.4047619047619047,0.35,BOS
Rajon Rondo,0.257,27.0,0.0,-0.2,1.0,0.191,998.0,0.2,0.2,15.3,0.461,21.3,0.5,0.2857142857142857,0.5,BOS
Chris Johnson,0.593,23.0,-0.8,-0.9,0.5,0.201,789.0,0.1,0.9,10.8,0.537,14.3,0.2,0.45238095238095233,0.25,BOS
Courtney Lee,0.284,28.0,-1.2,-0.9,0.4,0.12,504.0,-0.4,0.6,14.6,0.573,19.2,0.1,0.38095238095238093,0.2,BOS
Vitor Faverani,0.272,25.0,-3.1,1.1,0.7,0.252,488.0,-4.2,-0.3,11.0,0.502,18.6,-0.1,0.16666666666666666,0.35,BOS
Joel Anthony,0.0,31.0,-4.2,1.1,0.1,0.231,149.0,-5.3,0.0,8.1,0.384,9.1,-0.1,0.23809523809523808,0.05,BOS
Chris Babb,0.9,23.0,-4.4,-0.7,0.1,0.0,132.0,-3.7,-0.1,3.7,0.367,11.1,-0.1,0.21428571428571427,0.05,BOS
MarShon Brooks,0.167,25.0,-8.3,-1.6,0.1,0.583,73.0,-6.7,-0.1,10.7,0.514,22.6,-0.1,0.21428571428571427,0.05,BOS
Keith Bogans,1.0,33.0,-2.1,-2.2,0.0,0.5,55.0,0.1,0.1,9.9,0.82,6.7,0.0,0.2619047619047619,0.0,BOS
Vander Blue,0.25,21.0,-13.9,-3.1,0.0,1.25,15.0,-10.9,-0.1,0.5,0.403,24.3,0.0,0.21428571428571427,0.0,BOS
