Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Spencer Dinwiddie,0.517,24.0,0.2,-1.8,1.4,0.32,2306.0,2.1,4.3,15.9,0.527,20.3,1.3,1.0,0.7,BRK
Allen Crabbe,0.643,25.0,-0.8,-1.2,1.4,0.163,2197.0,0.4,1.8,12.3,0.558,19.0,0.7,0.489795918367347,0.7,BRK
DeMarre Carroll,0.498,31.0,0.2,-0.3,1.8,0.313,2180.0,0.4,2.3,14.3,0.55,19.8,1.2,0.5918367346938775,0.9,BRK
Joe Harris,0.576,26.0,0.1,-1.2,0.9,0.167,1975.0,1.3,3.0,13.3,0.634,16.6,1.1,0.7346938775510206,0.45,BRK
Rondae Hollis-Jefferson,0.075,23.0,-0.4,1.1,2.0,0.436,1920.0,-1.5,2.1,16.9,0.548,22.2,0.8,0.5510204081632654,1.0,BRK
Caris LeVert,0.333,23.0,-0.5,-0.2,1.6,0.254,1864.0,-0.3,0.7,14.3,0.525,22.5,0.7,0.2653061224489796,0.8,BRK
Jarrett Allen,0.038,19.0,0.2,1.4,1.5,0.37,1441.0,-1.3,2.7,17.5,0.636,16.3,0.8,0.6734693877551021,0.75,BRK
Quincy Acy,0.8,27.0,-2.2,-0.2,1.1,0.164,1359.0,-2.0,-0.1,8.2,0.525,14.4,-0.1,0.10204081632653063,0.55,BRK
D'Angelo Russell,0.414,21.0,-0.4,-1.2,0.9,0.195,1234.0,0.8,-0.5,15.2,0.509,30.8,0.5,0.02040816326530612,0.45,BRK
Tyler Zeller,0.114,28.0,-2.5,-0.6,0.6,0.262,703.0,-1.9,1.0,15.3,0.587,17.9,-0.1,0.326530612244898,0.3,BRK
Nik Stauskas,0.66,24.0,-3.9,-2.3,0.2,0.18,478.0,-1.7,0.2,9.8,0.547,16.7,-0.2,0.163265306122449,0.1,BRK
Dante Cunningham,0.432,30.0,-0.6,0.4,0.4,0.115,447.0,-1.0,0.4,13.8,0.561,15.8,0.2,0.20408163265306126,0.2,BRK
Trevor Booker,0.08,30.0,-1.5,0.2,0.3,0.287,395.0,-1.6,0.3,15.4,0.536,21.8,0.1,0.1836734693877551,0.15,BRK
Timofey Mozgov,0.194,31.0,-4.1,-0.3,0.3,0.323,359.0,-3.8,0.1,12.3,0.617,16.8,-0.2,0.14285714285714288,0.15,BRK
Jahlil Okafor,0.031,22.0,-4.3,-0.8,0.3,0.194,328.0,-3.4,0.3,15.8,0.593,20.9,-0.2,0.1836734693877551,0.15,BRK
Sean Kilpatrick,0.494,28.0,-10.2,-3.1,0.1,0.218,183.0,-7.1,-0.6,4.9,0.414,26.3,-0.4,0.0,0.05,BRK
Isaiah Whitehead,0.209,22.0,-5.6,-1.3,0.2,0.221,180.0,-4.3,-0.3,11.5,0.53,28.5,-0.2,0.06122448979591837,0.1,BRK
Milton Doyle,0.489,24.0,-5.8,-0.6,0.1,0.17,125.0,-5.2,-0.3,5.2,0.337,18.2,-0.1,0.06122448979591837,0.05,BRK
James Webb,0.792,24.0,-6.6,-1.5,0.0,0.0,120.0,-5.1,-0.1,2.2,0.333,10.1,-0.1,0.10204081632653063,0.0,BRK
Jacob Wiley,0.5,23.0,-3.0,0.9,0.0,0.5,33.0,-3.9,0.0,8.2,0.41,6.4,0.0,0.12244897959183675,0.0,BRK
Jeremy Lin,0.167,29.0,-13.5,-10.4,0.0,0.583,25.0,-3.1,0.0,15.9,0.597,31.3,-0.1,0.12244897959183675,0.0,BRK
Rashad Vaughn,0.0,21.0,-16.0,-8.5,0.0,0.0,4.0,-7.6,0.0,4.1,0.0,0.0,0.0,0.12244897959183675,0.0,BRK
