Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Luol Deng,0.213,27.0,1.1,0.4,3.3,0.258,2903.0,0.6,3.0,15.1,0.508,21.5,2.2,0.7254901960784313,0.702127659574468,CHI
Carlos Boozer,0.002,31.0,-0.6,0.9,4.3,0.232,2546.0,-1.5,1.4,17.1,0.51,25.8,0.9,0.4117647058823528,0.9148936170212765,CHI
Joakim Noah,0.008,27.0,5.2,5.1,4.7,0.376,2426.0,0.1,2.7,18.1,0.534,17.2,4.4,0.6666666666666666,1.0,CHI
Jimmy Butler,0.205,23.0,1.9,1.0,2.6,0.455,2134.0,0.9,4.4,15.2,0.574,14.6,2.1,1.0,0.5531914893617021,CHI
Nate Robinson,0.378,28.0,1.7,-1.6,2.4,0.183,2086.0,3.3,3.5,17.4,0.54,25.1,1.9,0.8235294117647058,0.5106382978723404,CHI
Marco Belinelli,0.362,26.0,-2.7,-1.6,1.6,0.275,1882.0,-1.1,1.3,10.4,0.513,18.7,-0.3,0.392156862745098,0.3404255319148936,CHI
Kirk Hinrich,0.431,32.0,-1.2,-0.2,2.1,0.232,1764.0,-1.1,1.0,10.8,0.493,14.7,0.3,0.3333333333333333,0.44680851063829785,CHI
Taj Gibson,0.009,27.0,-0.5,2.1,2.3,0.297,1459.0,-2.6,1.0,14.4,0.518,18.1,0.5,0.3333333333333333,0.4893617021276595,CHI
Richard Hamilton,0.109,34.0,-5.5,-2.4,0.9,0.162,1088.0,-3.1,-0.6,10.6,0.481,25.0,-1.0,0.019607843137254895,0.19148936170212766,CHI
Nazr Mohammed,0.011,35.0,-2.8,1.8,1.2,0.261,693.0,-4.6,0.0,10.8,0.414,14.9,-0.1,0.1372549019607843,0.2553191489361702,CHI
Marquis Teague,0.204,19.0,-7.3,-1.0,0.4,0.142,392.0,-6.3,-0.7,6.0,0.412,18.2,-0.5,0.0,0.0851063829787234,CHI
Daequan Cook,0.565,25.0,-9.2,-2.7,0.3,0.083,276.0,-6.4,-0.6,4.0,0.366,20.1,-0.5,0.019607843137254895,0.06382978723404255,CHI
Vladimir Radmanovic,0.628,32.0,-2.2,1.3,0.3,0.07,144.0,-3.5,-0.2,6.3,0.372,16.4,0.0,0.0980392156862745,0.06382978723404255,CHI
Malcolm Thomas,0.0,24.0,1.5,2.1,0.1,0.444,36.0,-0.6,0.1,16.7,0.558,16.3,0.0,0.15686274509803919,0.02127659574468085,CHI
Lou Amundson,0.0,30.0,-21.1,-11.4,0.0,0.0,2.0,-9.7,0.0,0.0,0.0,23.0,0.0,0.1372549019607843,0.0,CHI
