Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Gerald Henderson,0.065,24.0,-2.6,-1.9,0.2,0.282,1831.0,-0.7,0.8,14.0,0.511,23.0,-0.3,0.6571428571428571,0.3076923076923077,CHO
Kemba Walker,0.295,21.0,-1.2,-1.8,0.5,0.278,1792.0,0.6,-0.2,14.9,0.464,25.2,0.3,0.37142857142857144,0.5384615384615384,CHO
Byron Mullens,0.086,22.0,-5.0,-1.7,0.6,0.19,1465.0,-3.3,-0.4,13.0,0.473,22.5,-1.1,0.31428571428571433,0.6153846153846154,CHO
Bismack Biyombo,0.0,19.0,-3.9,1.5,1.1,0.514,1455.0,-5.4,-0.5,10.6,0.48,13.1,-0.7,0.2857142857142857,1.0,CHO
Derrick Brown,0.059,24.0,-1.5,-1.2,0.3,0.345,1443.0,-0.3,2.0,14.7,0.556,16.8,0.2,1.0,0.3846153846153846,CHO
D.J. Augustin,0.368,24.0,-3.6,-4.4,-0.2,0.246,1408.0,0.8,0.7,14.1,0.493,21.3,-0.6,0.6285714285714287,0.0,CHO
D.J. White,0.003,25.0,-4.6,-1.5,0.3,0.173,1098.0,-3.1,0.5,12.4,0.516,17.8,-0.7,0.5714285714285714,0.3846153846153846,CHO
Boris Diaw,0.304,29.0,-2.6,-0.4,0.3,0.095,1018.0,-2.2,-0.8,10.8,0.461,17.2,-0.2,0.19999999999999998,0.3846153846153846,CHO
Tyrus Thomas,0.009,25.0,-5.4,0.8,0.8,0.254,1013.0,-6.2,-1.5,9.0,0.418,19.0,-0.9,0.0,0.7692307692307692,CHO
Corey Maggette,0.177,32.0,-5.2,-3.7,0.1,0.558,881.0,-1.4,0.5,14.1,0.517,27.4,-0.7,0.5714285714285714,0.23076923076923078,CHO
Reggie Williams,0.42,25.0,-2.5,-2.5,0.0,0.157,747.0,0.0,0.3,12.4,0.503,18.9,-0.1,0.5142857142857143,0.15384615384615385,CHO
Matt Carroll,0.274,31.0,-7.3,-2.1,0.1,0.242,596.0,-5.3,-0.7,5.6,0.409,15.3,-0.8,0.2285714285714286,0.23076923076923078,CHO
Cory Higgins,0.125,22.0,-11.6,-4.1,-0.1,0.375,423.0,-7.4,-1.2,4.1,0.402,24.6,-1.0,0.08571428571428573,0.07692307692307693,CHO
DeSagana Diop,0.0,30.0,-4.1,1.7,0.2,0.143,325.0,-5.8,-0.3,6.8,0.347,9.0,-0.2,0.34285714285714286,0.3076923076923077,CHO
Eduardo Najera,0.453,35.0,-1.8,1.0,0.3,0.063,270.0,-2.8,-0.1,9.3,0.441,12.4,0.0,0.39999999999999997,0.3846153846153846,CHO
Jamario Moon,0.417,31.0,-8.6,-0.3,0.0,0.083,123.0,-8.3,-0.3,3.4,0.362,12.3,-0.2,0.34285714285714286,0.15384615384615385,CHO
