Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Tristan Thompson,0.004,21.0,-0.5,0.1,2.0,0.364,2564.0,-0.7,3.2,16.1,0.516,18.3,1.0,0.7727272727272727,1.0,CLE
Alonzo Gee,0.294,25.0,-1.5,-0.1,1.5,0.276,2541.0,-1.4,0.5,10.5,0.505,16.9,0.3,0.15909090909090906,0.75,CLE
Kyrie Irving,0.261,20.0,3.3,-1.6,1.1,0.271,2048.0,4.9,4.2,21.4,0.553,30.2,2.8,1.0,0.55,CLE
Tyler Zeller,0.007,23.0,-2.3,0.4,1.2,0.281,2033.0,-2.7,0.8,11.0,0.486,15.9,-0.1,0.22727272727272727,0.6,CLE
Dion Waiters,0.249,21.0,-3.2,-2.7,0.6,0.261,1756.0,-0.5,0.3,13.7,0.492,26.1,-0.5,0.11363636363636363,0.3,CLE
C.J. Miles,0.534,25.0,-1.1,-2.8,0.8,0.174,1364.0,1.7,1.8,15.3,0.551,23.9,0.3,0.45454545454545453,0.4,CLE
Shaun Livingston,0.004,27.0,-1.1,-0.4,0.6,0.296,1135.0,-0.7,1.9,14.6,0.559,14.7,0.3,0.47727272727272724,0.3,CLE
Wayne Ellington,0.433,25.0,-1.0,-2.0,0.3,0.179,985.0,1.0,1.6,13.9,0.556,17.6,0.2,0.40909090909090906,0.15,CLE
Daniel Gibson,0.66,26.0,-3.4,-2.3,0.2,0.15,919.0,-1.1,0.3,7.7,0.475,14.3,-0.3,0.11363636363636363,0.1,CLE
Anderson Varejao,0.017,30.0,4.6,2.2,1.1,0.353,901.0,2.4,2.2,21.7,0.529,18.7,1.5,0.5454545454545455,0.55,CLE
Luke Walton,0.37,32.0,-1.3,0.5,0.7,0.11,857.0,-1.8,0.1,11.3,0.453,13.0,0.2,0.06818181818181819,0.35,CLE
Marreese Speights,0.015,25.0,-3.8,-2.0,0.6,0.32,721.0,-1.9,0.9,18.2,0.515,26.6,-0.3,0.25,0.3,CLE
Omri Casspi,0.475,24.0,-1.7,0.1,0.6,0.256,503.0,-1.8,0.1,12.9,0.486,17.7,0.0,0.06818181818181819,0.3,CLE
Jeremy Pargo,0.305,26.0,-5.6,-4.0,0.1,0.219,447.0,-1.6,-0.1,11.3,0.478,24.1,-0.4,0.022727272727272728,0.05,CLE
Kevin Jones,0.0,23.0,-5.2,-1.8,0.2,0.14,334.0,-3.4,0.1,11.1,0.418,16.2,-0.3,0.06818181818181819,0.1,CLE
Donald Sloan,0.244,25.0,-6.0,-3.1,0.0,0.321,257.0,-2.9,0.1,9.9,0.455,17.7,-0.3,0.06818181818181819,0.0,CLE
Samardo Samuels,0.017,24.0,-7.7,-2.5,0.0,0.4,196.0,-5.3,-0.1,6.2,0.411,17.4,-0.3,0.022727272727272728,0.0,CLE
Jon Leuer,0.107,23.0,-9.1,-2.6,0.0,0.214,91.0,-6.4,-0.2,3.3,0.359,17.5,-0.2,0.0,0.0,CLE
Chris Quinn,0.313,29.0,-10.8,-3.1,0.0,0.125,78.0,-7.7,-0.2,1.3,0.296,13.1,-0.2,0.0,0.0,CLE
