Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
O.J. Mayo,0.34,25.0,0.4,-0.7,1.8,0.227,2913.0,1.1,2.3,13.9,0.556,20.9,1.7,0.5952380952380952,0.72,DAL
Darren Collison,0.188,25.0,0.2,-0.9,1.7,0.38,2372.0,1.1,4.0,16.3,0.575,19.6,1.3,1.0,0.6799999999999999,DAL
Vince Carter,0.467,36.0,2.9,-0.4,2.0,0.261,2093.0,3.3,3.9,17.8,0.571,23.1,2.6,0.976190476190476,0.8,DAL
Shawn Marion,0.106,34.0,2.8,1.9,2.5,0.146,2010.0,0.9,2.9,18.0,0.553,19.0,2.4,0.7380952380952381,1.0,DAL
Dirk Nowitzki,0.216,34.0,1.7,0.0,1.8,0.265,1661.0,1.7,3.3,19.8,0.564,24.2,1.5,0.8333333333333333,0.72,DAL
Elton Brand,0.002,33.0,0.4,2.5,2.2,0.195,1527.0,-2.1,1.2,15.2,0.499,17.2,0.9,0.3333333333333333,0.8800000000000001,DAL
Chris Kaman,0.002,30.0,-3.7,-0.5,1.6,0.138,1363.0,-3.2,0.0,16.3,0.529,25.3,-0.6,0.047619047619047616,0.64,DAL
Jae Crowder,0.523,22.0,-0.5,0.4,1.3,0.199,1353.0,-0.9,0.2,10.2,0.491,15.1,0.5,0.09523809523809523,0.52,DAL
Brandan Wright,0.007,25.0,1.6,1.1,1.3,0.238,1149.0,0.5,2.8,21.0,0.606,19.0,1.0,0.7142857142857143,0.52,DAL
Mike James,0.461,37.0,-3.4,-2.2,0.5,0.107,862.0,-1.3,0.0,9.5,0.481,17.9,-0.3,0.047619047619047616,0.2,DAL
Dahntay Jones,0.264,32.0,-4.8,-1.5,0.3,0.586,635.0,-3.3,0.2,6.9,0.494,14.2,-0.4,0.09523809523809523,0.12,DAL
Rodrigue Beaubois,0.409,24.0,-3.3,-1.7,0.4,0.216,549.0,-1.6,0.0,10.6,0.47,18.7,-0.2,0.047619047619047616,0.16,DAL
Bernard James,0.019,27.0,-1.2,1.6,0.7,0.398,457.0,-2.8,0.5,14.7,0.541,13.9,0.1,0.16666666666666666,0.27999999999999997,DAL
Dominique Jones,0.083,24.0,-4.2,-1.4,0.2,0.486,338.0,-2.9,-0.2,12.4,0.438,23.0,-0.2,0.0,0.08,DAL
Troy Murphy,0.574,32.0,-1.7,0.5,0.3,0.18,256.0,-2.2,0.0,9.1,0.494,13.0,0.0,0.047619047619047616,0.12,DAL
Derek Fisher,0.354,38.0,-5.1,-2.4,0.1,0.354,229.0,-2.7,0.0,8.7,0.513,18.5,-0.2,0.047619047619047616,0.04,DAL
Anthony Morrow,0.147,27.0,-7.4,-4.8,0.0,0.118,82.0,-2.6,0.0,10.9,0.545,22.1,-0.1,0.047619047619047616,0.0,DAL
Chris Douglas-Roberts,0.286,26.0,-5.0,-1.8,0.0,0.714,63.0,-3.2,0.0,8.3,0.462,14.0,0.0,0.047619047619047616,0.0,DAL
Jared Cunningham,0.214,21.0,-6.3,-4.5,0.0,0.143,26.0,-1.8,0.0,14.8,0.538,29.6,0.0,0.047619047619047616,0.0,DAL
Eddy Curry,0.0,30.0,-16.1,-6.5,0.0,0.5,25.0,-9.6,-0.1,-0.2,0.461,23.3,-0.1,0.023809523809523808,0.0,DAL
Josh Akognon,0.5,26.0,-0.2,-4.9,0.0,0.0,9.0,4.7,0.0,15.3,0.625,20.3,0.0,0.047619047619047616,0.0,DAL
Justin Dentmon,0.0,27.0,-27.8,-6.5,0.0,0.0,4.0,-21.4,0.0,-19.4,0.0,22.8,0.0,0.047619047619047616,0.0,DAL
Chris Wright,0.0,23.0,-22.1,-6.8,0.0,0.0,4.0,-15.3,0.0,-1.9,0.5,34.2,0.0,0.047619047619047616,0.0,DAL
