Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Ty Lawson,0.261,24.0,3.3,-1.0,1.2,0.282,2124.0,4.2,5.7,19.4,0.579,21.2,2.8,1.0,0.7499999999999999,DEN
Arron Afflalo,0.316,26.0,0.8,-1.6,0.6,0.353,2086.0,2.5,4.7,14.7,0.584,19.1,1.5,0.8333333333333334,0.37499999999999994,DEN
Andre Miller,0.15,35.0,-0.8,-1.0,1.0,0.306,1809.0,0.2,1.9,14.8,0.51,19.8,0.6,0.36666666666666664,0.625,DEN
Al Harrington,0.392,31.0,-0.5,-1.3,1.6,0.228,1761.0,0.8,1.6,15.3,0.535,24.4,0.6,0.3166666666666667,1.0,DEN
Danilo Gallinari,0.393,23.0,2.1,-0.2,1.0,0.448,1351.0,2.3,2.9,16.5,0.563,20.7,1.4,0.5333333333333333,0.625,DEN
Corey Brewer,0.274,25.0,0.3,0.0,1.1,0.281,1287.0,0.3,1.1,13.7,0.505,20.0,0.8,0.23333333333333336,0.6875,DEN
Kenneth Faried,0.0,22.0,3.4,1.0,1.3,0.531,1037.0,2.3,3.2,21.9,0.618,18.7,1.4,0.5833333333333334,0.8125,DEN
Nene Hilario,0.007,29.0,0.7,2.1,1.1,0.473,826.0,-1.4,0.5,16.7,0.554,22.5,0.6,0.13333333333333333,0.6875,DEN
Kosta Koufos,0.0,22.0,1.0,1.0,1.0,0.286,792.0,0.0,1.7,17.3,0.608,14.0,0.6,0.3333333333333333,0.625,DEN
Rudy Fernandez,0.542,26.0,0.4,-1.1,0.4,0.191,710.0,1.5,0.8,13.3,0.549,17.8,0.4,0.18333333333333335,0.25,DEN
Timofey Mozgov,0.0,25.0,-1.6,1.5,0.8,0.3,687.0,-3.0,0.3,13.2,0.556,17.4,0.1,0.09999999999999999,0.5,DEN
Chris Andersen,0.0,33.0,1.4,2.6,0.8,0.759,486.0,-1.2,1.0,18.9,0.583,14.8,0.4,0.21666666666666667,0.5,DEN
JaVale McGee,0.0,24.0,-0.5,0.2,0.6,0.336,411.0,-0.7,0.7,20.5,0.588,21.0,0.2,0.16666666666666666,0.37499999999999994,DEN
Jordan Hamilton,0.423,21.0,-2.4,-1.8,0.2,0.045,258.0,-0.6,0.1,13.9,0.508,22.3,0.0,0.06666666666666667,0.125,DEN
Wilson Chandler,0.152,24.0,-4.0,0.5,0.2,0.152,215.0,-4.5,-0.3,9.0,0.445,21.2,-0.1,0.0,0.125,DEN
Julyan Stone,0.355,23.0,-0.2,0.9,0.2,0.355,179.0,-1.1,0.2,13.0,0.502,11.7,0.1,0.08333333333333333,0.125,DEN
DeMarre Carroll,0.0,25.0,1.4,-3.4,0.0,0.0,21.0,4.8,0.1,25.2,1.0,17.0,0.0,0.06666666666666667,0.0,DEN
