Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Josh Smith,0.215,28.0,-0.6,1.1,2.5,0.244,2730.0,-1.7,-1.4,14.1,0.463,24.5,0.9,0.0,0.7058823529411765,DET
Brandon Jennings,0.403,24.0,-0.5,-2.6,0.9,0.283,2728.0,2.1,3.0,15.6,0.486,23.4,1.0,0.5641025641025641,0.23529411764705885,DET
Greg Monroe,0.001,23.0,0.3,0.4,2.3,0.362,2690.0,0.0,3.7,18.1,0.531,21.4,1.6,0.6538461538461537,0.6470588235294117,DET
Andre Drummond,0.003,20.0,1.6,0.5,3.5,0.427,2619.0,1.1,6.4,22.6,0.599,16.7,2.4,1.0,1.0,DET
Kyle Singler,0.409,25.0,-0.1,-0.8,0.7,0.306,2337.0,0.7,3.6,11.8,0.574,14.0,1.1,0.641025641025641,0.17647058823529413,DET
Rodney Stuckey,0.103,27.0,-4.1,-2.9,0.4,0.342,1950.0,-1.2,1.8,14.0,0.516,24.3,-1.0,0.41025641025641024,0.08823529411764708,DET
Kentavious Caldwell-Pope,0.402,20.0,-2.1,-0.8,0.8,0.133,1583.0,-1.2,1.0,9.4,0.483,13.9,0.0,0.30769230769230765,0.2058823529411765,DET
Will Bynum,0.144,31.0,-3.5,-2.8,0.4,0.281,1054.0,-0.7,0.6,14.4,0.502,23.8,-0.4,0.2564102564102564,0.08823529411764708,DET
Jonas Jerebko,0.356,26.0,-2.1,-1.4,0.5,0.284,741.0,-0.7,1.0,13.4,0.577,16.0,0.0,0.30769230769230765,0.11764705882352942,DET
Josh Harrellson,0.378,24.0,-0.2,0.2,0.2,0.085,317.0,-0.5,0.5,13.4,0.547,12.8,0.1,0.24358974358974356,0.029411764705882356,DET
Chauncey Billups,0.608,37.0,-6.3,-2.4,0.1,0.152,309.0,-3.8,-0.3,5.3,0.427,15.1,-0.3,0.141025641025641,0.0,DET
Luigi Datome,0.402,26.0,-7.0,-3.2,0.1,0.103,238.0,-3.8,-0.2,8.0,0.409,20.2,-0.3,0.15384615384615383,0.0,DET
Peyton Siva,0.439,23.0,-7.3,-2.8,0.1,0.263,224.0,-4.4,-0.2,5.7,0.425,15.6,-0.3,0.15384615384615383,0.0,DET
Charlie Villanueva,0.609,29.0,-5.2,-4.0,0.1,0.152,180.0,-1.2,0.0,12.7,0.469,25.0,-0.1,0.17948717948717946,0.0,DET
Tony Mitchell,0.083,21.0,1.3,1.4,0.1,1.583,79.0,-0.1,0.1,18.1,0.54,13.2,0.1,0.1923076923076923,0.0,DET
