Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Klay Thompson,0.441,27.0,-0.6,-2.4,1.8,0.083,2506.0,1.8,3.2,16.1,0.598,23.7,0.9,0.44871794871794873,0.5294117647058824,GSW
Kevin Durant,0.338,29.0,5.6,0.7,2.9,0.331,2325.0,5.0,7.5,26.0,0.64,30.4,4.5,1.0,0.8529411764705882,GSW
Draymond Green,0.414,27.0,3.2,2.7,3.4,0.279,2287.0,0.4,2.6,16.1,0.556,17.2,3.0,0.3717948717948718,1.0,GSW
Stephen Curry,0.58,29.0,8.6,-1.3,1.8,0.35,1631.0,9.9,7.2,28.2,0.675,31.0,4.4,0.9615384615384616,0.5294117647058824,GSW
Andre Iguodala,0.366,34.0,0.2,0.9,1.6,0.272,1622.0,-0.7,1.6,11.2,0.536,11.5,0.9,0.2435897435897436,0.4705882352941177,GSW
Nick Young,0.668,32.0,-3.7,-3.4,0.9,0.133,1393.0,-0.2,0.8,10.0,0.562,17.6,-0.6,0.14102564102564105,0.2647058823529412,GSW
Shaun Livingston,0.015,32.0,-3.5,-0.9,0.9,0.178,1129.0,-2.6,0.9,11.6,0.533,16.7,-0.4,0.15384615384615385,0.2647058823529412,GSW
David West,0.021,37.0,3.0,3.2,1.7,0.209,999.0,-0.2,1.8,20.9,0.6,21.7,1.3,0.2692307692307693,0.5,GSW
Zaza Pachulia,0.004,33.0,0.8,1.3,1.4,0.352,972.0,-0.5,1.8,17.0,0.612,17.0,0.7,0.2692307692307693,0.4117647058823529,GSW
Patrick McCaw,0.356,22.0,-3.4,-0.5,0.8,0.151,961.0,-2.9,-0.3,7.4,0.477,12.8,-0.3,0.0,0.23529411764705885,GSW
Kevon Looney,0.026,21.0,1.2,2.1,1.3,0.399,910.0,-0.9,1.5,14.8,0.588,12.5,0.7,0.23076923076923078,0.3823529411764706,GSW
Jordan Bell,0.022,23.0,3.7,3.7,1.4,0.238,809.0,0.0,1.6,18.0,0.641,13.9,1.2,0.2435897435897436,0.4117647058823529,GSW
Quinn Cook,0.413,24.0,-2.2,-2.8,0.4,0.099,740.0,0.6,1.1,12.8,0.593,17.5,0.0,0.17948717948717952,0.11764705882352942,GSW
Omri Casspi,0.106,29.0,-1.4,0.0,1.0,0.333,740.0,-1.5,1.2,15.5,0.632,16.3,0.1,0.19230769230769232,0.29411764705882354,GSW
JaVale McGee,0.027,30.0,2.6,2.1,1.1,0.237,615.0,0.4,1.7,22.3,0.641,19.2,0.7,0.25641025641025644,0.3235294117647059,GSW
Damian Jones,0.0,22.0,-6.6,-1.7,0.1,0.227,89.0,-4.9,0.0,6.8,0.517,13.9,-0.1,0.038461538461538464,0.029411764705882356,GSW
Chris Boucher,1.0,25.0,-59.0,-20.1,0.0,0.0,1.0,-38.9,0.0,-28.5,0.0,43.9,0.0,0.038461538461538464,0.0,GSW
