Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
James Harden,0.498,28.0,10.9,1.3,3.8,0.502,2551.0,9.6,11.6,29.8,0.619,36.1,8.3,1.0,0.926829268292683,HOU
P.J. Tucker,0.703,32.0,0.0,1.5,3.0,0.136,2281.0,-1.5,1.0,8.3,0.537,10.5,1.2,0.12396694214876033,0.7317073170731708,HOU
Trevor Ariza,0.71,32.0,1.5,0.7,2.8,0.137,2269.0,0.8,2.6,11.8,0.567,14.4,2.0,0.25619834710743805,0.6829268292682927,HOU
Eric Gordon,0.627,29.0,-1.0,-2.4,1.8,0.248,2154.0,1.4,2.9,15.2,0.578,24.7,0.5,0.2809917355371901,0.4390243902439025,HOU
Clint Capela,0.001,23.0,3.0,2.9,4.1,0.38,2034.0,0.1,6.2,24.5,0.65,19.4,2.6,0.5537190082644629,1.0,HOU
Chris Paul,0.475,32.0,7.1,0.9,2.7,0.277,1847.0,6.2,7.5,24.4,0.604,24.5,4.3,0.6611570247933884,0.6585365853658538,HOU
Ryan Anderson,0.706,29.0,0.2,-0.8,1.7,0.194,1725.0,1.0,3.1,12.6,0.592,14.4,1.0,0.2975206611570248,0.41463414634146345,HOU
Luc Mbah a Moute,0.501,31.0,0.0,1.5,2.1,0.275,1564.0,-1.5,0.7,10.2,0.595,12.9,0.8,0.09917355371900827,0.5121951219512195,HOU
Gerald Green,0.722,32.0,-1.9,-2.4,1.0,0.145,929.0,0.5,1.0,14.1,0.566,22.4,0.0,0.12396694214876033,0.24390243902439027,HOU
Nene Hilario,0.008,35.0,-0.8,0.7,1.1,0.448,758.0,-1.5,1.5,16.4,0.594,18.9,0.2,0.1652892561983471,0.26829268292682934,HOU
Tarik Black,0.087,26.0,-1.0,2.1,1.0,0.496,536.0,-3.0,0.5,14.3,0.582,15.6,0.1,0.08264462809917356,0.24390243902439027,HOU
Joe Johnson,0.455,36.0,-4.4,-0.9,0.4,0.157,505.0,-3.6,0.0,6.8,0.485,14.1,-0.3,0.04132231404958678,0.09756097560975611,HOU
Zhou Qi,0.594,22.0,-7.2,3.1,0.2,0.375,124.0,-10.3,-0.5,1.9,0.295,16.8,-0.2,0.0,0.04878048780487806,HOU
Briante Weber,0.409,25.0,1.3,3.7,0.2,0.182,118.0,-2.5,0.1,11.1,0.547,11.5,0.1,0.049586776859504134,0.04878048780487806,HOU
Bobby Brown,0.69,33.0,-9.3,-4.2,0.1,0.034,115.0,-5.0,-0.3,5.5,0.425,26.1,-0.2,0.01652892561983471,0.02439024390243903,HOU
Demetrius Jackson,0.429,23.0,-7.2,2.3,0.1,0.0,63.0,-9.5,-0.3,0.2,0.286,16.1,-0.1,0.01652892561983471,0.02439024390243903,HOU
R.J. Hunter,0.7,24.0,-4.5,-1.6,0.1,0.1,45.0,-3.0,0.0,8.5,0.455,22.5,0.0,0.04132231404958678,0.02439024390243903,HOU
Aaron Jackson,0.444,31.0,-7.7,-3.0,0.0,0.222,35.0,-4.6,0.0,2.4,0.405,13.7,-0.1,0.04132231404958678,0.0,HOU
Markel Brown,0.714,26.0,-8.4,-1.7,0.0,0.0,31.0,-6.7,-0.1,-1.2,0.357,12.8,-0.1,0.03305785123966942,0.0,HOU
Chinanu Onuaku,0.0,21.0,-12.3,-1.2,0.0,0.0,22.0,-11.1,-0.1,-3.2,0.4,16.1,-0.1,0.03305785123966942,0.0,HOU
Troy Williams,0.556,23.0,-14.2,-2.6,0.0,0.333,17.0,-11.6,-0.1,-2.4,0.242,29.4,-0.1,0.03305785123966942,0.0,HOU
Brandan Wright,0.0,30.0,-3.2,-0.6,0.0,0.0,15.0,-2.5,0.0,11.3,0.667,8.8,0.0,0.04132231404958678,0.0,HOU
Tim Quarterman,0.667,23.0,-10.8,-1.9,0.0,0.667,13.0,-8.9,0.0,2.9,0.515,20.0,0.0,0.04132231404958678,0.0,HOU
Isaiah Canaan,0.0,26.0,-21.2,-3.9,0.0,0.0,4.0,-17.3,0.0,-7.3,0.0,11.0,0.0,0.04132231404958678,0.0,HOU
