Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Brandon Rush,0.43,24.0,-1.3,0.7,2.5,0.127,2491.0,-2.1,0.0,9.6,0.522,14.8,0.4,0.023809523809523815,0.6756756756756757,IND
Troy Murphy,0.41,29.0,2.6,1.1,3.7,0.237,2344.0,1.4,4.1,18.0,0.585,18.8,2.7,1.0,1.0,IND
Earl Watson,0.351,30.0,-1.5,0.2,2.3,0.323,2322.0,-1.6,0.3,10.9,0.517,14.7,0.3,0.09523809523809526,0.6216216216216215,IND
Danny Granger,0.385,26.0,2.7,-0.4,2.7,0.376,2278.0,3.1,3.5,19.8,0.564,28.7,2.7,0.8571428571428573,0.7297297297297297,IND
Roy Hibbert,0.008,23.0,0.3,1.8,2.5,0.286,2035.0,-1.4,1.6,16.2,0.537,22.2,1.2,0.4047619047619049,0.6756756756756757,IND
Dahntay Jones,0.051,29.0,-3.6,-0.3,1.6,0.413,1892.0,-3.2,0.1,10.8,0.527,20.1,-0.8,0.04761904761904763,0.43243243243243246,IND
Mike Dunleavy,0.423,29.0,-1.9,-1.0,1.5,0.283,1486.0,-0.9,0.8,13.1,0.531,20.7,0.0,0.21428571428571433,0.4054054054054054,IND
T.J. Ford,0.12,26.0,-1.8,-0.3,1.1,0.323,1189.0,-1.5,0.3,13.4,0.507,21.0,0.1,0.09523809523809526,0.2972972972972973,IND
A.J. Price,0.492,23.0,-1.8,-2.0,0.8,0.212,865.0,0.2,0.4,14.0,0.53,22.7,0.0,0.11904761904761907,0.21621621621621623,IND
Luther Head,0.338,27.0,-4.1,-1.9,0.6,0.186,813.0,-2.2,-0.1,11.5,0.53,21.2,-0.4,0.0,0.16216216216216214,IND
Solomon Jones,0.017,25.0,-3.1,1.4,0.8,0.403,675.0,-4.5,0.0,9.9,0.499,16.1,-0.2,0.023809523809523815,0.21621621621621623,IND
Josh McRoberts,0.158,22.0,0.7,1.4,0.7,0.26,524.0,-0.7,0.8,14.8,0.55,15.3,0.4,0.21428571428571433,0.18918918918918917,IND
Tyler Hansbrough,0.018,24.0,-4.2,-1.2,0.6,0.502,511.0,-3.0,0.1,14.6,0.448,25.5,-0.3,0.04761904761904763,0.16216216216216214,IND
Jeff Foster,0.022,33.0,-1.3,1.3,0.3,0.196,255.0,-2.6,0.2,9.6,0.49,11.1,0.0,0.07142857142857145,0.08108108108108107,IND
Travis Diener,0.833,27.0,-2.1,1.5,0.0,0.333,25.0,-3.6,0.0,7.9,0.218,12.1,0.0,0.023809523809523815,0.0,IND
