Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
DeAndre Jordan,0.0,25.0,4.1,4.2,5.8,0.726,2870.0,-0.1,5.3,18.2,0.63,12.4,4.4,0.6021505376344085,1.0,LAC
Blake Griffin,0.032,24.0,4.6,1.6,4.1,0.496,2863.0,3.0,8.1,23.9,0.583,29.0,4.8,0.9032258064516129,0.7068965517241379,LAC
Chris Paul,0.244,28.0,7.4,0.6,3.2,0.397,2171.0,6.8,9.0,25.9,0.58,23.7,5.2,1.0,0.5517241379310345,LAC
Jamal Crawford,0.441,33.0,0.2,-2.6,1.5,0.318,2094.0,2.7,3.8,17.3,0.556,27.2,1.2,0.4408602150537634,0.25862068965517243,LAC
Darren Collison,0.272,26.0,1.0,-0.4,2.0,0.323,2069.0,1.4,3.8,16.2,0.575,19.7,1.6,0.4408602150537634,0.3448275862068966,LAC
Matt Barnes,0.537,33.0,1.5,0.8,2.0,0.171,1735.0,0.7,1.5,12.0,0.552,16.6,1.5,0.1935483870967742,0.3448275862068966,LAC
Jared Dudley,0.503,28.0,-0.8,-0.4,1.2,0.13,1729.0,-0.3,1.2,8.9,0.541,13.5,0.5,0.16129032258064516,0.20689655172413793,LAC
J.J. Redick,0.465,29.0,0.8,-2.1,0.7,0.266,987.0,2.9,2.3,16.6,0.598,21.8,0.7,0.2795698924731182,0.12068965517241378,LAC
Willie Green,0.446,32.0,-3.4,-0.8,0.7,0.125,869.0,-2.6,-0.2,7.1,0.477,16.3,-0.3,0.010752688172043008,0.12068965517241378,LAC
Ryan Hollins,0.0,29.0,-0.3,1.7,0.6,0.778,482.0,-2.0,0.7,11.9,0.73,11.5,0.2,0.1075268817204301,0.10344827586206896,LAC
Reggie Bullock,0.603,22.0,-4.7,-1.8,0.3,0.074,395.0,-2.9,-0.2,6.7,0.46,15.4,-0.3,0.010752688172043008,0.05172413793103448,LAC
Hedo Turkoglu,0.459,34.0,0.2,2.1,0.7,0.165,392.0,-1.9,0.1,11.3,0.492,15.0,0.2,0.04301075268817204,0.12068965517241378,LAC
Glen Davis,0.012,28.0,-3.2,0.6,0.4,0.284,308.0,-3.8,0.1,10.3,0.527,15.5,-0.1,0.04301075268817204,0.06896551724137931,LAC
Antawn Jamison,0.446,37.0,-6.0,-1.4,0.4,0.272,248.0,-4.6,-0.3,7.8,0.408,19.6,-0.2,0.0,0.06896551724137931,LAC
Danny Granger,0.405,30.0,-3.4,-2.3,0.2,0.167,194.0,-1.1,0.1,12.6,0.532,22.8,-0.1,0.04301075268817204,0.034482758620689655,LAC
Byron Mullens,0.609,24.0,-4.1,-1.3,0.2,0.094,167.0,-2.8,-0.2,7.8,0.503,21.1,-0.1,0.010752688172043008,0.034482758620689655,LAC
Stephen Jackson,0.538,35.0,-5.9,0.9,0.1,0.154,107.0,-6.8,-0.3,0.1,0.27,13.9,-0.1,0.0,0.017241379310344827,LAC
Darius Morris,0.538,23.0,-6.2,-0.6,0.1,0.154,54.0,-5.6,-0.1,1.5,0.324,13.0,-0.1,0.02150537634408602,0.017241379310344827,LAC
Sasha Vujacic,0.4,29.0,-20.1,-3.4,0.0,0.0,10.0,-16.7,-0.1,1.5,0.5,35.3,0.0,0.02150537634408602,0.0,LAC
Maalik Wayns,0.0,22.0,11.2,9.2,0.0,0.0,9.0,2.0,0.0,19.3,0.5,9.8,0.0,0.03225806451612903,0.0,LAC
