Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Kobe Bryant,0.192,31.0,3.6,-0.1,4.0,0.345,2835.0,3.6,5.4,21.9,0.545,32.3,4.0,0.8133333333333334,0.8085106382978723,LAL
Metta World Peace,0.4,30.0,1.5,1.2,3.5,0.251,2605.0,0.3,1.8,12.1,0.514,16.2,2.3,0.3333333333333333,0.702127659574468,LAL
Lamar Odom,0.246,30.0,3.1,3.1,4.9,0.273,2585.0,0.0,2.8,15.9,0.533,17.0,3.3,0.4666666666666667,1.0,LAL
Pau Gasol,0.006,29.0,5.4,3.0,4.2,0.429,2403.0,2.4,6.8,22.9,0.593,21.4,4.5,1.0,0.851063829787234,LAL
Derek Fisher,0.401,35.0,-0.8,0.4,2.7,0.237,2227.0,-1.2,1.2,9.3,0.499,14.0,0.7,0.2533333333333333,0.5319148936170213,LAL
Andrew Bynum,0.001,22.0,1.4,1.3,3.4,0.379,1977.0,0.2,4.4,20.2,0.608,20.8,1.7,0.68,0.6808510638297871,LAL
Shannon Brown,0.319,24.0,-1.4,-0.1,2.3,0.204,1700.0,-1.3,1.1,12.4,0.517,18.8,0.3,0.24000000000000002,0.4468085106382978,LAL
Jordan Farmar,0.445,23.0,-1.4,-1.0,1.8,0.165,1474.0,-0.5,1.0,12.3,0.535,19.0,0.2,0.22666666666666666,0.3404255319148936,LAL
Josh Powell,0.082,27.0,-6.2,-0.8,0.7,0.16,581.0,-5.5,-0.7,6.7,0.407,18.6,-0.6,0.0,0.10638297872340424,LAL
Sasha Vujacic,0.494,25.0,-0.9,-0.5,0.7,0.201,575.0,-0.4,0.7,11.4,0.518,15.2,0.2,0.18666666666666665,0.10638297872340424,LAL
Didier Ilunga-Mbenga,0.0,29.0,-3.4,1.7,0.6,0.184,355.0,-5.1,0.0,11.6,0.471,16.0,-0.1,0.09333333333333332,0.08510638297872339,LAL
Luke Walton,0.202,29.0,-3.4,-0.2,0.4,0.048,272.0,-3.2,-0.1,9.7,0.402,16.1,-0.1,0.08,0.0425531914893617,LAL
Adam Morrison,0.247,25.0,-6.2,-1.8,0.2,0.094,241.0,-4.4,-0.2,7.4,0.418,18.3,-0.3,0.06666666666666667,0.0,LAL
