Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Marc Gasol,0.231,32.0,4.2,2.2,3.5,0.286,2531.0,2.1,4.2,20.3,0.554,26.4,4.0,0.6024096385542168,1.0,MEM
Mike Conley,0.415,29.0,5.7,-0.8,2.5,0.365,2292.0,6.5,7.5,23.2,0.604,26.3,4.5,1.0,0.7058823529411765,MEM
JaMychal Green,0.29,26.0,0.7,1.1,2.6,0.334,2101.0,-0.4,3.2,13.5,0.601,14.4,1.4,0.48192771084337344,0.7352941176470589,MEM
Tony Allen,0.091,35.0,0.6,2.4,2.9,0.218,1914.0,-1.8,0.2,13.3,0.493,17.9,1.3,0.12048192771084336,0.8235294117647058,MEM
Vince Carter,0.604,40.0,1.0,0.9,2.1,0.235,1799.0,0.1,1.9,11.7,0.542,14.9,1.4,0.3253012048192771,0.5882352941176471,MEM
Zach Randolph,0.098,35.0,-2.1,-0.7,2.4,0.2,1786.0,-1.4,0.8,18.5,0.49,29.2,0.0,0.19277108433734938,0.676470588235294,MEM
James Ennis,0.427,26.0,0.0,1.0,1.7,0.343,1501.0,-1.0,1.4,10.6,0.581,13.0,0.8,0.26506024096385544,0.47058823529411764,MEM
Andrew Harrison,0.433,22.0,-2.4,0.0,1.5,0.539,1474.0,-2.4,0.0,8.7,0.477,16.4,-0.2,0.09638554216867469,0.4117647058823529,MEM
Troy Daniels,0.717,25.0,-3.1,-3.5,0.8,0.109,1183.0,0.4,0.5,10.4,0.531,21.7,-0.3,0.1566265060240964,0.2058823529411765,MEM
Chandler Parsons,0.419,28.0,-4.1,-0.5,0.7,0.194,675.0,-3.6,-0.5,7.7,0.436,17.8,-0.3,0.03614457831325302,0.17647058823529413,MEM
Jarell Martin,0.166,22.0,-6.4,-0.6,0.8,0.331,558.0,-5.8,-0.2,8.7,0.477,16.4,-0.6,0.07228915662650603,0.2058823529411765,MEM
Brandan Wright,0.007,29.0,1.3,1.3,0.5,0.259,447.0,0.0,1.1,18.5,0.628,16.3,0.4,0.2289156626506024,0.11764705882352942,MEM
Troy Williams,0.333,22.0,-3.0,1.5,0.6,0.203,418.0,-4.6,-0.6,7.8,0.474,17.4,-0.1,0.02409638554216868,0.14705882352941177,MEM
Wade Baldwin,0.191,20.0,-5.7,0.5,0.5,0.322,405.0,-6.2,-0.8,6.5,0.404,19.1,-0.4,0.0,0.11764705882352942,MEM
Toney Douglas,0.359,30.0,-1.2,1.0,0.5,0.248,394.0,-2.2,0.0,10.6,0.451,17.4,0.1,0.09638554216867469,0.11764705882352942,MEM
Deyonta Davis,0.0,20.0,-3.7,1.8,0.4,0.383,238.0,-5.4,0.1,10.6,0.528,12.0,-0.1,0.10843373493975902,0.08823529411764708,MEM
Wayne Selden,0.42,22.0,-6.0,-1.9,0.1,0.36,189.0,-4.1,-0.1,6.2,0.475,16.1,-0.2,0.08433734939759036,0.0,MEM
