Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Luol Deng,0.28,29.0,0.5,-0.6,1.6,0.319,2421.0,1.1,3.7,15.5,0.561,19.5,1.5,1.0,0.6666666666666667,MIA
Mario Chalmers,0.374,28.0,-1.0,-0.4,2.0,0.401,2368.0,-0.6,0.8,11.7,0.521,18.9,0.6,0.3255813953488372,0.8333333333333334,MIA
Dwyane Wade,0.094,33.0,1.2,-1.2,1.4,0.341,1971.0,2.4,2.1,21.4,0.534,34.7,1.6,0.6279069767441862,0.5833333333333334,MIA
Chris Bosh,0.226,30.0,-0.1,-1.0,1.5,0.311,1556.0,1.0,2.1,19.8,0.548,28.4,0.8,0.6279069767441862,0.625,MIA
Norris Cole,0.333,26.0,-2.9,-0.9,0.8,0.15,1148.0,-2.1,-0.1,9.9,0.452,15.7,-0.3,0.11627906976744186,0.33333333333333337,MIA
Hassan Whiteside,0.0,25.0,-0.9,0.7,2.4,0.403,1142.0,-1.6,2.8,26.2,0.619,21.1,0.3,0.7906976744186046,1.0,MIA
Chris Andersen,0.063,36.0,1.0,2.3,1.5,0.551,1132.0,-1.2,2.1,16.1,0.622,12.3,0.9,0.6279069767441862,0.625,MIA
James Ennis,0.385,24.0,-1.5,-0.6,0.8,0.381,1051.0,-0.9,1.2,11.5,0.541,14.6,0.1,0.41860465116279066,0.33333333333333337,MIA
Shabazz Napier,0.518,23.0,-2.6,-0.6,0.8,0.246,1012.0,-2.0,-0.3,9.3,0.517,15.5,-0.2,0.06976744186046512,0.33333333333333337,MIA
Udonis Haslem,0.042,34.0,-3.4,-0.1,1.0,0.268,995.0,-3.3,0.4,10.6,0.488,14.6,-0.4,0.23255813953488372,0.4166666666666667,MIA
Shawne Williams,0.633,28.0,-0.2,-0.7,0.7,0.138,924.0,0.6,1.3,11.2,0.574,14.1,0.4,0.4418604651162791,0.2916666666666667,MIA
Goran Dragic,0.226,28.0,1.7,-1.7,0.5,0.322,905.0,3.4,2.3,18.8,0.586,22.2,0.9,0.6744186046511628,0.20833333333333334,MIA
Henry Walker,0.786,27.0,-1.0,-0.1,0.6,0.107,628.0,-0.9,-0.1,8.0,0.497,15.0,0.2,0.11627906976744186,0.25,MIA
Danny Granger,0.519,31.0,-3.2,-1.8,0.3,0.228,613.0,-1.5,0.2,8.6,0.527,15.5,-0.2,0.186046511627907,0.125,MIA
Tyler Johnson,0.287,22.0,-1.1,0.7,0.7,0.281,603.0,-1.8,0.1,12.0,0.506,17.0,0.1,0.1627906976744186,0.2916666666666667,MIA
Michael Beasley,0.16,26.0,-4.7,-0.4,0.5,0.123,505.0,-4.3,-0.6,10.6,0.474,24.2,-0.3,0.0,0.20833333333333334,MIA
Josh McRoberts,0.358,27.0,-1.1,0.6,0.3,0.245,296.0,-1.7,0.1,10.2,0.613,12.8,0.1,0.1627906976744186,0.125,MIA
Justin Hamilton,0.292,24.0,-1.6,-0.4,0.2,0.108,289.0,-1.2,0.2,9.7,0.485,12.4,0.0,0.186046511627907,0.08333333333333334,MIA
Shannon Brown,0.368,29.0,-6.1,-1.9,0.0,0.211,89.0,-4.2,-0.1,4.4,0.482,13.1,-0.1,0.11627906976744186,0.0,MIA
Zoran Dragic,0.409,25.0,-6.3,-3.4,0.0,0.091,62.0,-2.9,-0.1,8.0,0.481,21.1,-0.1,0.11627906976744186,0.0,MIA
Andre Dawkins,1.0,23.0,-11.5,-3.9,0.0,0.0,22.0,-7.5,-0.1,-5.0,0.25,15.0,-0.1,0.11627906976744186,0.0,MIA
