Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Giannis Antetokounmpo,0.143,22.0,7.6,3.5,4.5,0.486,2845.0,4.1,7.9,26.1,0.599,28.3,6.9,1.0,1.0,MIL
Tony Snell,0.656,25.0,-0.8,-1.1,1.3,0.107,2336.0,0.2,2.1,9.7,0.603,12.1,0.7,0.30952380952380953,0.2888888888888889,MIL
Matthew Dellavedova,0.403,26.0,-4.7,-2.8,0.9,0.18,1986.0,-1.9,0.3,9.4,0.501,16.3,-1.4,0.09523809523809523,0.2,MIL
Malcolm Brogdon,0.304,24.0,-0.5,-1.1,1.5,0.198,1982.0,0.6,2.6,14.9,0.555,18.5,0.8,0.36904761904761907,0.3333333333333333,MIL
Greg Monroe,0.006,26.0,2.0,1.5,2.6,0.329,1823.0,0.5,3.0,21.1,0.572,24.3,1.9,0.41666666666666663,0.5777777777777778,MIL
Jabari Parker,0.219,21.0,0.2,-1.3,1.5,0.268,1728.0,1.5,2.6,19.1,0.563,26.5,1.0,0.36904761904761907,0.3333333333333333,MIL
Jason Terry,0.704,39.0,-1.1,-0.6,0.9,0.119,1365.0,-0.5,1.2,9.1,0.6,9.8,0.3,0.20238095238095236,0.2,MIL
Mirza Teletovic,0.73,31.0,-4.9,-3.4,0.7,0.108,1133.0,-1.5,-0.1,8.8,0.515,19.1,-0.8,0.047619047619047616,0.15555555555555556,MIL
John Henson,0.003,26.0,-0.1,2.5,1.6,0.346,1123.0,-2.5,1.2,15.3,0.55,16.6,0.6,0.20238095238095236,0.35555555555555557,MIL
Michael Beasley,0.106,28.0,-2.9,-1.1,1.0,0.259,935.0,-1.7,0.8,17.8,0.584,25.3,-0.2,0.15476190476190477,0.2222222222222222,MIL
Khris Middleton,0.312,25.0,-0.5,-0.6,0.9,0.276,889.0,0.0,0.7,15.0,0.57,22.5,0.3,0.14285714285714285,0.2,MIL
Thon Maker,0.409,19.0,-1.5,-1.0,0.5,0.271,562.0,-0.5,0.8,14.0,0.558,17.8,0.1,0.15476190476190477,0.1111111111111111,MIL
Rashad Vaughn,0.519,20.0,-4.9,-1.2,0.4,0.032,458.0,-3.7,-0.5,7.8,0.449,17.2,-0.3,0.0,0.08888888888888889,MIL
Miles Plumlee,0.0,28.0,-4.2,0.4,0.3,0.515,310.0,-4.6,-0.2,8.0,0.492,15.5,-0.2,0.03571428571428571,0.06666666666666667,MIL
Spencer Hawes,0.441,28.0,0.0,-1.0,0.2,0.305,171.0,1.0,0.4,18.6,0.62,20.3,0.1,0.10714285714285714,0.044444444444444446,MIL
Gary Payton,0.409,24.0,-6.7,0.6,0.1,0.227,99.0,-7.3,-0.3,4.5,0.413,15.8,-0.1,0.023809523809523808,0.022222222222222223,MIL
Steve Novak,0.857,33.0,-13.6,-6.7,0.0,0.0,22.0,-6.9,0.0,1.3,0.357,14.5,-0.1,0.05952380952380952,0.0,MIL
Terrence Jones,0.0,25.0,-20.1,6.6,0.0,0.0,6.0,-26.7,-0.1,1.5,0.0,22.8,0.0,0.047619047619047616,0.0,MIL
Axel Toupane,1.0,24.0,-12.7,-3.5,0.0,0.0,6.0,-9.2,0.0,-9.9,0.0,7.6,0.0,0.05952380952380952,0.0,MIL
