Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Corey Brewer,0.25,23.0,-1.6,-0.6,1.4,0.27,2482.0,-1.0,-0.4,12.1,0.502,21.5,0.2,0.22448979591836735,0.6086956521739131,MIN
Al Jefferson,0.004,25.0,-0.4,0.5,2.3,0.236,2463.0,-0.9,2.3,19.0,0.524,24.3,1.0,0.7755102040816325,1.0,MIN
Jonny Flynn,0.226,20.0,-3.6,-2.5,0.7,0.284,2339.0,-1.2,-0.6,13.0,0.511,24.2,-1.0,0.18367346938775508,0.30434782608695654,MIN
Ryan Gomes,0.272,27.0,-1.7,-0.9,0.9,0.172,2210.0,-0.8,1.5,12.1,0.528,17.4,0.2,0.6122448979591836,0.391304347826087,MIN
Ramon Sessions,0.027,23.0,-3.4,-1.5,0.6,0.42,1732.0,-1.9,0.5,12.9,0.513,19.9,-0.6,0.4081632653061224,0.2608695652173913,MIN
Kevin Love,0.164,21.0,1.9,0.1,1.5,0.427,1714.0,1.8,3.4,20.7,0.549,22.4,1.7,1.0,0.6521739130434783,MIN
Damien Wilkins,0.16,30.0,-1.2,0.6,1.0,0.339,1585.0,-1.8,0.9,11.5,0.515,14.1,0.3,0.48979591836734687,0.4347826086956522,MIN
Wayne Ellington,0.362,22.0,-4.8,-2.6,0.1,0.156,1384.0,-2.1,0.3,9.6,0.527,17.4,-1.0,0.36734693877551017,0.04347826086956522,MIN
Ryan Hollins,0.003,25.0,-3.3,-0.7,0.5,0.521,1223.0,-2.6,0.8,11.0,0.6,16.6,-0.4,0.4693877551020407,0.2173913043478261,MIN
Sasha Pavlovic,0.393,26.0,-7.0,-2.0,0.3,0.087,877.0,-5.0,-1.5,5.4,0.422,18.1,-1.1,0.0,0.13043478260869565,MIN
Darko Milicic,0.005,24.0,-0.5,2.0,0.5,0.15,614.0,-2.5,0.1,12.9,0.499,16.4,0.2,0.32653061224489793,0.2173913043478261,MIN
Oleksiy Pecherov,0.277,24.0,-7.1,-2.7,0.4,0.17,447.0,-4.5,-0.3,12.0,0.487,22.8,-0.6,0.24489795918367344,0.1739130434782609,MIN
Nathan Jawai,0.009,23.0,-3.5,-0.5,0.2,0.342,412.0,-3.0,0.0,11.0,0.485,16.3,-0.2,0.3061224489795918,0.08695652173913045,MIN
Brian Cardinal,0.25,32.0,-2.9,-0.4,0.1,0.5,267.0,-2.5,0.3,6.9,0.546,8.3,-0.1,0.36734693877551017,0.04347826086956522,MIN
Alando Tucker,0.0,25.0,-10.0,-4.1,0.0,0.0,25.0,-5.9,0.0,6.9,0.444,17.4,-0.1,0.3061224489795918,0.0,MIN
Jason Hart,0.0,31.0,-7.7,0.7,0.0,0.0,5.0,-8.4,0.0,9.3,0.0,8.7,0.0,0.3061224489795918,0.0,MIN
