Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Jrue Holiday,0.286,27.0,2.1,0.3,2.9,0.191,2927.0,1.8,4.2,17.8,0.57,23.1,3.0,0.48888888888888893,0.5918367346938775,NOP
Anthony Davis,0.111,24.0,5.2,2.3,4.9,0.409,2727.0,2.8,8.8,28.9,0.612,30.0,4.9,1.0,1.0,NOP
E'Twaun Moore,0.362,28.0,-0.2,-0.8,1.6,0.082,2586.0,0.6,2.8,12.1,0.593,16.1,1.2,0.3333333333333333,0.32653061224489793,NOP
Darius Miller,0.735,27.0,-1.0,-1.6,0.9,0.138,1944.0,0.5,2.1,9.3,0.617,12.8,0.5,0.2555555555555556,0.18367346938775508,NOP
DeMarcus Cousins,0.34,27.0,5.5,3.6,3.2,0.456,1737.0,1.9,1.5,22.6,0.583,31.9,3.3,0.18888888888888888,0.6530612244897959,NOP
Rajon Rondo,0.304,31.0,-1.1,-0.7,1.7,0.093,1705.0,-0.4,1.9,15.3,0.522,16.9,0.4,0.23333333333333334,0.346938775510204,NOP
Ian Clark,0.394,26.0,-3.9,-2.0,0.8,0.119,1455.0,-2.0,0.3,9.4,0.529,17.2,-0.7,0.05555555555555555,0.16326530612244897,NOP
Dante Cunningham,0.48,30.0,-1.7,-0.1,0.9,0.16,1115.0,-1.6,0.7,8.4,0.525,10.0,0.1,0.09999999999999999,0.18367346938775508,NOP
Jameer Nelson,0.537,35.0,-3.3,-1.4,0.6,0.083,897.0,-1.9,0.3,8.9,0.52,13.0,-0.3,0.05555555555555555,0.12244897959183672,NOP
Nikola Mirotic,0.516,26.0,-0.2,-0.2,1.2,0.152,872.0,0.0,0.7,16.3,0.539,21.8,0.4,0.09999999999999999,0.24489795918367344,NOP
Cheick Diallo,0.0,21.0,-3.1,-0.3,0.8,0.375,581.0,-2.8,1.1,17.0,0.619,17.4,-0.2,0.14444444444444446,0.16326530612244897,NOP
Emeka Okafor,0.0,35.0,-1.3,1.3,0.5,0.232,353.0,-2.6,0.5,16.4,0.545,14.4,0.1,0.07777777777777778,0.1020408163265306,NOP
Tony Allen,0.132,36.0,-5.2,-1.3,0.2,0.231,273.0,-4.0,-0.2,8.7,0.514,18.9,-0.2,0.0,0.04081632653061224,NOP
DeAndre Liggins,0.415,29.0,-2.2,0.7,0.2,0.0,244.0,-2.9,0.1,7.8,0.537,8.5,0.0,0.03333333333333334,0.04081632653061224,NOP
Solomon Hill,0.512,26.0,-3.8,0.6,0.2,0.146,187.0,-4.4,-0.2,4.8,0.332,12.2,-0.1,0.0,0.04081632653061224,NOP
Omer Asik,0.0,31.0,-8.1,-0.7,0.1,0.75,121.0,-7.4,-0.1,4.5,0.423,9.4,-0.2,0.011111111111111112,0.02040816326530612,NOP
Larry Drew,0.353,27.0,-8.9,-5.4,0.0,0.0,55.0,-3.5,0.0,6.3,0.441,15.0,-0.1,0.022222222222222223,0.0,NOP
Jordan Crawford,0.519,29.0,-0.9,-4.8,0.0,0.037,53.0,3.9,0.1,19.1,0.601,26.5,0.0,0.03333333333333334,0.0,NOP
Charles Cooke,0.571,23.0,-14.6,-3.8,0.0,0.143,38.0,-10.8,-0.2,-5.1,0.202,18.1,-0.1,0.0,0.0,NOP
"Walt Lemon, Jr.",0.063,25.0,-11.7,-4.2,0.0,0.188,35.0,-7.5,-0.1,6.9,0.491,26.4,-0.1,0.011111111111111112,0.0,NOP
Jalen Jones,0.25,24.0,-10.8,-4.8,0.0,0.5,19.0,-6.1,0.0,5.0,0.512,11.1,0.0,0.022222222222222223,0.0,NOP
Mike James,0.111,27.0,-12.4,-4.6,0.0,0.0,18.0,-7.7,-0.1,3.5,0.222,24.1,0.0,0.011111111111111112,0.0,NOP
Josh Smith,0.0,32.0,-13.4,-7.4,0.0,0.0,12.0,-6.0,0.0,3.5,0.25,14.4,0.0,0.022222222222222223,0.0,NOP
