Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Courtney Lee,0.368,32.0,0.0,-0.7,1.2,0.164,2310.0,0.8,2.7,13.0,0.564,16.9,1.2,0.6266666666666667,0.5714285714285714,NYK
Tim Hardaway,0.479,25.0,-0.1,-1.8,1.1,0.209,1885.0,1.7,1.6,14.4,0.533,23.8,0.9,0.48000000000000004,0.5238095238095238,NYK
Enes Kanter,0.003,25.0,2.5,0.1,2.1,0.258,1830.0,2.4,5.5,24.0,0.63,21.8,2.1,1.0,1.0,NYK
Frank Ntilikina,0.314,19.0,-3.9,-0.5,1.1,0.136,1706.0,-3.5,-2.0,7.0,0.437,16.9,-0.8,0.0,0.5238095238095238,NYK
Michael Beasley,0.107,29.0,-1.5,-0.4,1.5,0.197,1653.0,-1.0,0.9,17.8,0.556,26.9,0.2,0.38666666666666666,0.7142857142857143,NYK
Kristaps Porzingis,0.256,22.0,-0.7,-0.2,1.8,0.309,1553.0,-0.5,1.4,20.4,0.539,31.0,0.5,0.4533333333333333,0.8571428571428571,NYK
Jarrett Jack,0.194,34.0,-3.5,-1.7,0.7,0.169,1548.0,-1.9,0.5,11.5,0.489,16.7,-0.6,0.3333333333333333,0.3333333333333333,NYK
Kyle O'Quinn,0.044,27.0,4.5,4.3,2.1,0.33,1387.0,0.2,2.7,20.0,0.624,17.0,2.3,0.6266666666666667,1.0,NYK
Lance Thomas,0.464,29.0,-2.6,-0.5,0.6,0.199,1353.0,-2.1,0.3,6.3,0.513,10.7,-0.2,0.30666666666666664,0.2857142857142857,NYK
Doug McDermott,0.418,26.0,-2.5,-1.9,0.3,0.162,1172.0,-0.6,1.1,9.9,0.562,14.4,-0.1,0.41333333333333333,0.14285714285714285,NYK
Trey Burke,0.273,25.0,1.0,-3.2,0.3,0.148,785.0,4.2,2.0,21.0,0.563,25.1,0.6,0.5333333333333333,0.14285714285714285,NYK
Emmanuel Mudiay,0.225,21.0,-4.3,-0.9,0.4,0.25,493.0,-3.3,-0.7,10.2,0.428,23.7,-0.3,0.17333333333333334,0.19047619047619047,NYK
Damyean Dotson,0.422,23.0,-3.1,-1.7,0.3,0.143,474.0,-1.4,0.3,11.6,0.532,17.3,-0.1,0.30666666666666664,0.14285714285714285,NYK
Ron Baker,0.559,24.0,-1.0,0.9,0.4,0.441,385.0,-1.9,0.1,9.3,0.504,10.0,0.1,0.28,0.19047619047619047,NYK
Luke Kornet,0.632,22.0,0.2,0.1,0.3,0.088,326.0,0.1,0.2,13.6,0.516,19.0,0.2,0.29333333333333333,0.14285714285714285,NYK
Troy Williams,0.33,23.0,0.9,0.3,0.3,0.27,290.0,0.6,0.3,16.2,0.572,19.5,0.2,0.30666666666666664,0.14285714285714285,NYK
Isaiah Hicks,0.125,23.0,-5.6,-1.4,0.1,0.25,240.0,-4.3,-0.1,6.8,0.501,17.4,-0.2,0.2533333333333333,0.047619047619047616,NYK
Willy Hernangomez,0.062,23.0,-0.6,0.8,0.3,0.346,233.0,-1.4,0.1,16.9,0.595,22.4,0.1,0.28,0.14285714285714285,NYK
Ramon Sessions,0.208,31.0,-7.1,-1.2,0.1,0.283,167.0,-5.9,-0.3,6.2,0.403,19.5,-0.2,0.22666666666666666,0.047619047619047616,NYK
Joakim Noah,0.0,32.0,1.0,3.4,0.1,0.4,40.0,-2.4,0.0,15.6,0.51,17.2,0.0,0.26666666666666666,0.047619047619047616,NYK
Mindaugas Kuzminskas,0.0,28.0,-49.3,-12.7,0.0,0.0,2.0,-36.6,0.0,-41.1,0.0,43.6,0.0,0.26666666666666666,0.0,NYK
