Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Russell Westbrook,0.236,27.0,10.0,2.4,4.0,0.397,2750.0,7.6,10.0,27.6,0.554,31.6,8.3,0.9099099099099099,1.0,OKC
Kevin Durant,0.348,27.0,7.9,0.9,3.5,0.361,2578.0,7.0,11.0,28.2,0.634,30.6,6.4,1.0,0.875,OKC
Serge Ibaka,0.212,26.0,-0.1,1.0,3.0,0.139,2500.0,-1.1,2.5,13.9,0.533,17.6,1.2,0.23423423423423426,0.75,OKC
Dion Waiters,0.34,24.0,-2.1,-0.6,1.8,0.222,2152.0,-1.5,0.3,9.4,0.492,17.7,-0.1,0.036036036036036036,0.45,OKC
Steven Adams,0.0,22.0,2.1,1.3,2.3,0.46,2014.0,0.8,4.2,15.5,0.621,12.6,2.1,0.38738738738738737,0.575,OKC
Enes Kanter,0.029,23.0,-1.7,-3.1,2.1,0.349,1721.0,1.3,6.0,24.0,0.626,23.4,0.1,0.5495495495495495,0.525,OKC
Andre Roberson,0.376,24.0,1.4,1.3,1.6,0.197,1553.0,0.0,1.8,10.2,0.566,9.1,1.3,0.1711711711711712,0.4,OKC
Kyle Singler,0.439,27.0,-2.5,-0.8,0.8,0.199,977.0,-1.7,0.3,6.6,0.481,11.9,-0.1,0.036036036036036036,0.2,OKC
Anthony Morrow,0.613,30.0,-2.7,-3.2,0.5,0.117,926.0,0.5,1.4,10.7,0.543,16.9,-0.2,0.13513513513513514,0.125,OKC
Nick Collison,0.018,35.0,-1.2,1.3,0.7,0.303,699.0,-2.5,0.1,7.7,0.498,10.6,0.1,0.018018018018018018,0.175,OKC
Cameron Payne,0.399,21.0,-1.3,-0.9,0.8,0.086,698.0,-0.4,0.6,12.9,0.49,20.3,0.1,0.06306306306306306,0.2,OKC
Randy Foye,0.544,32.0,-2.5,-0.6,0.4,0.181,572.0,-1.9,0.0,7.1,0.469,14.1,-0.1,0.009009009009009009,0.1,OKC
D.J. Augustin,0.504,28.0,-3.3,-1.9,0.3,0.281,519.0,-1.4,0.4,8.7,0.522,13.6,-0.2,0.04504504504504505,0.075,OKC
Mitch McGary,0.174,23.0,-7.7,-1.5,0.1,0.435,72.0,-6.2,-0.1,7.4,0.474,20.4,-0.1,0.0,0.025,OKC
Josh Huestis,0.5,24.0,-7.4,-2.5,0.1,0.333,55.0,-4.9,0.0,6.7,0.509,13.0,-0.1,0.009009009009009009,0.025,OKC
Steve Novak,0.75,32.0,-5.7,-8.5,0.0,0.0,24.0,2.9,0.1,20.8,0.708,23.1,0.0,0.018018018018018018,0.0,OKC
Nazr Mohammed,0.0,38.0,-13.2,-5.9,0.0,0.4,19.0,-7.4,0.0,6.0,0.68,19.9,-0.1,0.009009009009009009,0.0,OKC
