Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Dwight Howard,0.008,24.0,5.5,5.0,7.1,0.978,2843.0,0.4,6.1,24.0,0.63,23.9,5.4,1.0,1.0,ORL
Rashard Lewis,0.525,30.0,2.7,0.9,3.4,0.224,2369.0,1.8,3.1,14.0,0.573,19.4,2.8,0.46428571428571436,0.4393939393939394,ORL
Vince Carter,0.319,33.0,1.7,-0.1,3.0,0.301,2310.0,1.9,4.4,17.1,0.541,25.2,2.2,0.6964285714285715,0.3787878787878788,ORL
Matt Barnes,0.372,29.0,2.7,2.2,3.4,0.262,2097.0,0.5,2.5,13.6,0.576,16.2,2.5,0.35714285714285715,0.4393939393939394,ORL
Jameer Nelson,0.32,27.0,1.0,-0.6,2.2,0.164,1860.0,1.6,2.8,15.5,0.54,22.3,1.4,0.4107142857142857,0.2575757575757576,ORL
J.J. Redick,0.495,25.0,1.4,-1.1,1.8,0.401,1808.0,2.5,4.7,15.0,0.606,18.3,1.5,0.7500000000000001,0.196969696969697,ORL
Jason Williams,0.519,34.0,-0.3,-0.8,2.0,0.096,1703.0,0.5,2.5,12.9,0.555,14.5,0.7,0.35714285714285715,0.2272727272727273,ORL
Mickael Pietrus,0.568,27.0,0.7,0.5,2.5,0.202,1687.0,0.2,1.2,11.9,0.555,18.0,1.1,0.125,0.30303030303030304,ORL
Marcin Gortat,0.013,25.0,-0.5,2.5,2.2,0.33,1088.0,-3.0,1.2,13.9,0.563,13.0,0.4,0.125,0.2575757575757576,ORL
Ryan Anderson,0.544,21.0,1.3,-1.0,1.4,0.211,911.0,2.3,1.7,18.1,0.574,24.4,0.8,0.2142857142857143,0.13636363636363635,ORL
Brandon Bass,0.0,24.0,-1.0,0.5,1.0,0.27,648.0,-1.5,1.0,16.5,0.556,20.9,0.2,0.08928571428571429,0.07575757575757576,ORL
Anthony Johnson,0.351,35.0,-0.8,-0.2,0.5,0.18,406.0,-0.6,0.5,12.4,0.543,16.7,0.1,0.0,0.0,ORL
