Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Andre Iguodala,0.305,28.0,4.4,2.7,4.2,0.31,2209.0,1.7,3.1,17.6,0.537,17.7,3.6,0.8222222222222223,1.0,PHI
Jrue Holiday,0.205,21.0,0.9,0.6,3.3,0.144,2196.0,0.2,0.9,14.7,0.496,21.8,1.6,0.3333333333333333,0.7857142857142856,PHI
Thaddeus Young,0.006,23.0,1.6,0.9,2.9,0.21,1755.0,0.7,3.4,18.9,0.538,21.5,1.6,0.8888888888888888,0.6904761904761905,PHI
Elton Brand,0.002,32.0,2.9,3.4,3.6,0.2,1732.0,-0.5,2.5,18.0,0.521,18.9,2.2,0.6888888888888889,0.8571428571428571,PHI
Evan Turner,0.083,23.0,-1.8,1.5,3.0,0.183,1713.0,-3.3,-0.6,12.6,0.478,20.3,0.1,0.0,0.7142857142857143,PHI
Lou Williams,0.293,25.0,1.9,-1.5,2.2,0.373,1682.0,3.4,3.9,20.2,0.525,27.4,1.7,1.0,0.5238095238095238,PHI
Jodie Meeks,0.57,24.0,-0.4,-0.8,2.0,0.182,1644.0,0.4,2.1,11.5,0.551,15.2,0.7,0.6000000000000001,0.47619047619047616,PHI
Spencer Hawes,0.038,23.0,2.7,3.3,1.9,0.172,920.0,-0.6,1.1,18.1,0.517,20.3,1.1,0.3777777777777778,0.45238095238095233,PHI
Nikola Vucevic,0.027,21.0,-2.1,1.1,1.6,0.117,812.0,-3.2,0.2,14.3,0.462,19.6,0.0,0.17777777777777778,0.38095238095238093,PHI
Lavoy Allen,0.0,22.0,-1.3,1.8,1.2,0.084,624.0,-3.1,0.4,12.7,0.488,14.5,0.1,0.2222222222222222,0.2857142857142857,PHI
Tony Battie,0.02,35.0,-3.9,1.8,0.5,0.078,295.0,-5.7,0.0,7.3,0.398,9.0,-0.1,0.13333333333333333,0.11904761904761904,PHI
Sam Young,0.182,26.0,-5.0,0.7,0.2,0.318,135.0,-5.7,-0.2,8.2,0.399,19.9,-0.1,0.08888888888888888,0.047619047619047616,PHI
Craig Brackins,0.273,24.0,-8.1,-1.9,0.1,0.061,88.0,-6.3,-0.2,4.3,0.325,20.2,-0.1,0.08888888888888888,0.023809523809523808,PHI
Andres Nocioni,0.3,32.0,-14.5,-2.7,0.1,0.55,56.0,-11.8,-0.3,1.8,0.342,25.0,-0.2,0.06666666666666667,0.023809523809523808,PHI
Xavier Silas,0.4,24.0,-10.5,-3.7,0.0,0.2,39.0,-6.8,-0.1,0.1,0.337,23.3,-0.1,0.1111111111111111,0.0,PHI
Francisco Elson,0.0,35.0,-4.3,4.3,0.0,0.0,16.0,-8.6,0.0,6.3,0.333,11.7,0.0,0.13333333333333333,0.0,PHI
