Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Channing Frye,0.53,27.0,1.2,0.5,2.1,0.129,2541.0,0.7,2.7,12.8,0.557,16.9,2.0,0.42500000000000004,1.0,PHO
Steve Nash,0.253,36.0,0.6,-3.0,0.7,0.307,2497.0,3.6,7.3,20.8,0.601,21.4,1.6,1.0,0.3333333333333333,PHO
Grant Hill,0.138,38.0,0.5,0.2,1.3,0.312,2409.0,0.3,3.1,14.7,0.563,20.1,1.5,0.475,0.6190476190476191,PHO
Jared Dudley,0.402,25.0,2.8,0.2,1.4,0.347,2140.0,2.6,4.2,15.6,0.598,16.9,2.5,0.6125,0.6666666666666666,PHO
Marcin Gortat,0.008,26.0,0.5,1.2,1.9,0.335,1636.0,-0.7,3.2,18.8,0.598,18.3,1.0,0.48750000000000004,0.9047619047619047,PHO
Hakim Warrick,0.025,28.0,-1.9,-1.2,0.8,0.659,1416.0,-0.8,2.6,16.5,0.581,20.9,0.0,0.4125,0.38095238095238093,PHO
Vince Carter,0.389,34.0,-0.4,-1.2,0.8,0.157,1387.0,0.8,0.9,14.2,0.516,23.5,0.5,0.2,0.38095238095238093,PHO
Robin Lopez,0.0,22.0,-4.9,-1.6,0.8,0.28,991.0,-3.3,0.8,13.9,0.539,20.4,-0.7,0.1875,0.38095238095238093,PHO
Josh Childress,0.075,27.0,0.5,1.3,0.6,0.276,894.0,-0.7,0.8,13.0,0.567,14.3,0.6,0.1875,0.2857142857142857,PHO
Goran Dragic,0.32,24.0,-3.0,-1.3,0.5,0.307,856.0,-1.7,-0.7,11.2,0.492,24.0,-0.2,0.0,0.23809523809523808,PHO
Jason Richardson,0.38,30.0,1.3,-2.2,0.4,0.185,796.0,3.5,1.5,19.1,0.574,25.5,0.7,0.275,0.19047619047619047,PHO
Mickael Pietrus,0.596,28.0,-1.9,-1.3,0.4,0.204,689.0,-0.6,0.1,10.8,0.519,19.5,0.0,0.09999999999999999,0.19047619047619047,PHO
Hedo Turkoglu,0.503,31.0,1.8,0.5,0.4,0.187,630.0,1.3,0.8,13.1,0.567,17.2,0.6,0.1875,0.19047619047619047,PHO
Aaron Brooks,0.335,26.0,-2.8,-4.1,0.1,0.285,473.0,1.4,0.6,15.6,0.533,25.7,-0.1,0.16249999999999998,0.047619047619047616,PHO
Zabian Dowdell,0.08,26.0,-4.6,-1.0,0.2,0.136,292.0,-3.5,-0.4,11.7,0.457,25.0,-0.2,0.03749999999999999,0.09523809523809523,PHO
Earl Barron,0.0,29.0,-8.5,-0.2,0.1,0.392,183.0,-8.3,-0.5,1.5,0.301,17.5,-0.3,0.024999999999999994,0.047619047619047616,PHO
Garret Siler,0.0,24.0,-4.2,-1.8,0.1,0.71,101.0,-2.4,0.1,13.5,0.553,22.6,-0.1,0.09999999999999999,0.047619047619047616,PHO
Earl Clark,0.0,23.0,-6.9,-0.9,0.1,0.323,72.0,-6.0,-0.1,11.3,0.41,23.4,-0.1,0.075,0.047619047619047616,PHO
Gani Lawal,0.0,22.0,-4.9,0.5,0.0,0.0,2.0,-5.4,0.0,-9.1,0.0,0.0,0.0,0.0875,0.0,PHO
