Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Nicolas Batum,0.491,25.0,4.2,1.8,3.1,0.248,2956.0,2.4,4.8,15.8,0.589,16.5,4.6,0.625,0.8823529411764706,POR
Damian Lillard,0.425,23.0,2.7,-1.7,1.8,0.327,2937.0,4.4,7.8,18.6,0.568,25.0,3.5,1.0,0.5,POR
Wesley Matthews,0.506,27.0,2.4,-0.9,1.9,0.298,2780.0,3.4,6.3,15.7,0.588,19.6,3.1,0.8125,0.5294117647058824,POR
Robin Lopez,0.002,25.0,3.0,1.6,2.6,0.376,2603.0,1.4,7.0,17.7,0.605,14.0,3.3,0.9,0.7352941176470589,POR
LaMarcus Aldridge,0.011,28.0,0.3,0.7,3.5,0.253,2498.0,-0.4,4.0,21.8,0.507,29.8,1.5,0.525,1.0,POR
Mo Williams,0.335,31.0,-2.0,-1.7,1.2,0.132,1834.0,-0.2,1.0,11.8,0.507,20.5,0.0,0.15,0.32352941176470584,POR
Dorell Wright,0.68,28.0,-0.4,-0.3,1.0,0.232,984.0,-0.1,0.9,11.9,0.524,16.2,0.4,0.1375,0.2647058823529412,POR
Thomas Robinson,0.003,22.0,-3.2,-0.1,1.2,0.345,873.0,-3.1,0.4,14.1,0.502,19.7,-0.3,0.07500000000000001,0.32352941176470584,POR
Joel Freeland,0.012,26.0,-0.7,1.1,0.7,0.179,727.0,-1.8,0.7,11.3,0.498,12.4,0.2,0.11249999999999999,0.17647058823529413,POR
C.J. McCollum,0.449,22.0,-4.1,-2.0,0.3,0.191,476.0,-2.1,-0.2,9.0,0.521,20.9,-0.3,0.0,0.058823529411764705,POR
Will Barton,0.212,23.0,-2.7,-0.7,0.4,0.205,387.0,-1.9,0.3,13.5,0.488,21.2,-0.1,0.0625,0.08823529411764708,POR
Meyers Leonard,0.066,21.0,-3.3,0.4,0.5,0.231,355.0,-3.6,0.2,9.4,0.489,14.2,-0.1,0.05,0.11764705882352942,POR
Victor Claver,0.429,25.0,-3.0,0.0,0.2,0.262,184.0,-3.0,0.0,8.8,0.502,13.7,0.0,0.025,0.029411764705882356,POR
Earl Watson,0.636,34.0,-5.6,-0.5,0.1,0.364,161.0,-5.1,-0.2,2.1,0.47,8.1,-0.1,0.0,0.0,POR
Allen Crabbe,0.424,21.0,-4.7,-2.1,0.1,0.121,100.0,-2.7,0.0,7.7,0.475,16.5,-0.1,0.025,0.0,POR
