Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Beno Udrih,0.221,28.0,1.0,-0.8,1.6,0.277,2734.0,1.8,5.6,15.7,0.587,16.9,2.1,1.0,0.5517241379310345,SAC
DeMarcus Cousins,0.018,20.0,-1.4,1.5,2.9,0.4,2309.0,-2.9,-1.9,14.6,0.484,27.2,0.4,0.0,1.0,SAC
Tyreke Evans,0.159,21.0,-0.5,0.1,1.7,0.285,2107.0,-0.6,-0.1,14.4,0.482,25.3,0.8,0.23999999999999996,0.5862068965517241,SAC
Samuel Dalembert,0.004,29.0,-2.0,1.6,2.5,0.261,1938.0,-3.6,0.4,14.1,0.509,17.1,0.0,0.30666666666666664,0.8620689655172414,SAC
Jason Thompson,0.006,24.0,-1.9,0.1,1.5,0.375,1748.0,-2.0,1.4,13.6,0.533,17.9,0.0,0.44,0.5172413793103449,SAC
Omri Casspi,0.452,22.0,-1.3,-0.7,1.3,0.185,1702.0,-0.6,1.1,11.7,0.517,16.7,0.3,0.4,0.4482758620689655,SAC
Carl Landry,0.006,27.0,-2.0,-1.3,0.7,0.444,1406.0,-0.7,1.8,14.7,0.545,20.3,0.0,0.49333333333333335,0.24137931034482757,SAC
Francisco Garcia,0.472,29.0,0.7,0.0,1.1,0.16,1386.0,0.6,1.9,13.5,0.551,17.3,0.9,0.5066666666666666,0.37931034482758624,SAC
Donte Greene,0.399,22.0,-3.4,-1.2,0.8,0.168,1127.0,-2.2,-0.2,9.7,0.482,18.2,-0.4,0.22666666666666666,0.27586206896551724,SAC
Marcus Thornton,0.311,23.0,2.2,-0.9,0.8,0.249,1030.0,3.1,1.9,18.2,0.547,24.4,1.1,0.5066666666666666,0.27586206896551724,SAC
Eugene Jeter,0.116,27.0,-5.4,-2.4,0.5,0.158,858.0,-3.0,0.2,11.1,0.46,16.5,-0.7,0.28,0.1724137931034483,SAC
Luther Head,0.39,28.0,-2.5,-1.7,0.2,0.305,586.0,-0.7,0.6,11.7,0.538,16.1,-0.1,0.3333333333333333,0.06896551724137931,SAC
Darnell Jackson,0.07,25.0,-4.3,-2.4,0.3,0.31,486.0,-1.9,0.4,12.3,0.521,18.0,-0.3,0.30666666666666664,0.10344827586206896,SAC
Jermaine Taylor,0.244,24.0,-3.5,-2.0,0.2,0.134,406.0,-1.5,-0.1,12.0,0.53,22.8,-0.2,0.23999999999999996,0.06896551724137931,SAC
Antoine Wright,0.5,26.0,-12.5,-3.1,0.0,0.0,31.0,-9.4,-0.1,-4.8,0.125,12.6,-0.1,0.23999999999999996,0.0,SAC
Hassan Whiteside,0.0,21.0,-6.5,0.0,0.0,0.0,2.0,-6.5,0.0,-17.9,0.0,0.0,0.0,0.2533333333333333,0.0,SAC
