Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Tim Duncan,0.006,37.0,3.2,4.0,4.6,0.349,2158.0,-0.9,2.8,21.3,0.535,25.2,2.8,0.738095238095238,1.0,SAS
Marco Belinelli,0.422,27.0,1.7,-0.3,2.4,0.188,2016.0,1.9,3.5,15.0,0.605,19.0,1.9,0.9047619047619047,0.5217391304347826,SAS
Tony Parker,0.073,31.0,-0.5,-1.8,1.9,0.266,1997.0,1.3,3.9,18.9,0.555,26.5,0.8,1.0,0.41304347826086957,SAS
Boris Diaw,0.193,31.0,1.6,1.4,2.6,0.159,1974.0,0.2,2.3,14.1,0.578,17.0,1.8,0.619047619047619,0.5652173913043479,SAS
Kawhi Leonard,0.282,22.0,5.8,3.4,3.9,0.195,1923.0,2.3,3.8,19.4,0.602,18.3,3.8,0.976190476190476,0.8478260869565218,SAS
Danny Green,0.63,26.0,3.3,2.1,2.8,0.125,1651.0,1.2,1.4,13.9,0.58,16.7,2.2,0.4047619047619047,0.6086956521739131,SAS
Manu Ginobili,0.411,36.0,4.0,0.4,2.4,0.3,1550.0,3.6,3.3,20.0,0.59,24.7,2.4,0.857142857142857,0.5217391304347826,SAS
Patty Mills,0.477,25.0,3.3,-0.6,2.1,0.123,1527.0,3.9,3.4,18.7,0.588,22.6,2.0,0.8809523809523808,0.4565217391304348,SAS
Tiago Splitter,0.009,29.0,1.9,2.1,2.1,0.5,1271.0,-0.1,2.3,16.5,0.572,17.7,1.3,0.619047619047619,0.4565217391304348,SAS
Jeff Ayres,0.0,26.0,0.5,2.1,1.4,0.316,952.0,-1.6,1.0,11.1,0.605,12.4,0.6,0.30952380952380953,0.30434782608695654,SAS
Cory Joseph,0.143,22.0,0.6,0.6,1.3,0.362,936.0,0.0,1.6,14.7,0.558,16.9,0.6,0.4523809523809524,0.28260869565217395,SAS
Matt Bonner,0.598,33.0,0.3,0.7,1.0,0.073,690.0,-0.4,0.8,11.2,0.582,12.1,0.4,0.2619047619047619,0.2173913043478261,SAS
Aron Baynes,0.0,27.0,-4.0,-0.3,0.6,0.129,491.0,-3.7,-0.1,9.7,0.467,19.2,-0.2,0.047619047619047616,0.13043478260869565,SAS
Nando De Colo,0.333,26.0,-0.1,1.2,0.5,0.237,301.0,-1.2,0.1,13.2,0.545,18.6,0.1,0.09523809523809523,0.10869565217391305,SAS
Austin Daye,0.527,25.0,-1.6,-0.7,0.2,0.127,115.0,-0.9,0.0,13.5,0.499,24.8,0.0,0.07142857142857142,0.04347826086956522,SAS
Shannon Brown,0.071,28.0,-10.1,-0.9,0.1,0.321,103.0,-9.2,-0.3,-0.5,0.36,17.5,-0.2,0.0,0.02173913043478261,SAS
Damion James,0.222,26.0,-5.5,1.2,0.1,0.222,50.0,-6.7,-0.1,4.1,0.304,9.8,0.0,0.047619047619047616,0.02173913043478261,SAS
Othyus Jeffers,0.2,28.0,-2.6,-0.7,0.0,0.4,34.0,-1.9,0.1,8.9,0.595,7.8,0.0,0.09523809523809523,0.0,SAS
Malcolm Thomas,0.0,25.0,-19.6,-0.7,0.0,0.5,15.0,-18.9,-0.1,6.6,0.205,17.7,-0.1,0.047619047619047616,0.0,SAS
