Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
DeMar DeRozan,0.202,28.0,1.8,-0.9,2.8,0.396,2711.0,2.7,6.8,21.0,0.555,29.6,2.6,0.9736842105263158,0.9032258064516128,TOR
Kyle Lowry,0.631,31.0,5.9,0.5,3.1,0.276,2510.0,5.4,7.0,19.5,0.598,21.7,5.0,1.0,1.0,TOR
Serge Ibaka,0.379,28.0,-0.2,0.6,3.0,0.151,2093.0,-0.8,2.1,14.7,0.574,19.4,1.0,0.3552631578947369,0.9677419354838709,TOR
Jonas Valanciunas,0.108,25.0,1.5,0.8,3.0,0.307,1727.0,0.7,4.6,22.5,0.628,22.7,1.5,0.6842105263157894,0.9677419354838709,TOR
Pascal Siakam,0.265,23.0,2.1,2.2,2.5,0.175,1679.0,0.0,2.1,14.5,0.549,15.7,1.7,0.3552631578947369,0.8064516129032258,TOR
Jakob Poeltl,0.005,22.0,3.3,2.9,2.4,0.263,1524.0,0.4,3.1,17.5,0.662,14.8,2.0,0.48684210526315796,0.7741935483870968,TOR
Fred VanVleet,0.479,23.0,1.9,0.1,2.0,0.185,1520.0,1.9,2.7,15.9,0.556,19.1,1.5,0.43421052631578955,0.6451612903225806,TOR
OG Anunoby,0.569,20.0,0.6,0.4,1.6,0.179,1481.0,0.2,1.4,10.0,0.587,12.4,1.0,0.2631578947368421,0.5161290322580645,TOR
Delon Wright,0.354,25.0,2.8,1.6,2.1,0.271,1433.0,1.2,2.5,16.5,0.574,17.2,1.7,0.4078947368421053,0.6774193548387097,TOR
C.J. Miles,0.758,30.0,-0.5,-2.2,1.5,0.162,1337.0,1.7,1.4,13.0,0.545,22.3,0.5,0.2631578947368421,0.48387096774193544,TOR
Norman Powell,0.497,24.0,-2.8,-0.4,1.2,0.104,1062.0,-2.5,-0.6,8.5,0.492,18.9,-0.2,0.0,0.3870967741935484,TOR
Lucas Nogueira,0.238,25.0,5.4,6.2,1.0,0.35,418.0,-0.7,0.7,17.3,0.661,11.4,0.8,0.17105263157894735,0.3225806451612903,TOR
Lorenzo Brown,0.353,27.0,-3.0,-0.2,0.1,0.059,139.0,-2.8,0.0,8.2,0.459,11.9,0.0,0.07894736842105263,0.03225806451612903,TOR
Malcolm Miller,0.75,24.0,-2.0,-1.5,0.1,0.143,126.0,-0.5,0.1,8.9,0.638,12.1,0.0,0.09210526315789473,0.03225806451612903,TOR
Alfonzo McKinnie,0.6,25.0,-3.1,-1.8,0.1,0.2,53.0,-1.3,0.0,10.1,0.643,16.0,0.0,0.07894736842105263,0.03225806451612903,TOR
Bruno Caboclo,1.0,22.0,-2.4,4.4,0.0,0.0,7.0,-6.8,0.0,-0.1,0.0,12.5,0.0,0.07894736842105263,0.0,TOR
Nigel Hayes,1.0,23.0,8.0,-6.4,0.0,0.0,6.0,14.4,0.0,34.9,1.5,21.9,0.0,0.07894736842105263,0.0,TOR
Malachi Richardson,0.5,22.0,-11.5,-6.4,0.0,0.0,5.0,-5.1,0.0,10.5,0.5,17.5,0.0,0.07894736842105263,0.0,TOR
