Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
Paul Millsap,0.036,26.0,5.0,2.1,2.9,0.296,2100.0,2.9,4.9,21.8,0.545,23.2,3.7,1.0,1.0,UTA
Al Jefferson,0.004,27.0,3.0,1.3,2.5,0.169,2075.0,1.7,4.9,22.8,0.52,25.7,2.6,1.0,0.8620689655172414,UTA
Gordon Hayward,0.271,21.0,1.9,-0.1,1.0,0.396,2015.0,2.0,3.8,15.5,0.568,17.8,2.0,0.7999999999999999,0.3448275862068966,UTA
Devin Harris,0.393,28.0,0.3,-2.4,0.8,0.386,1741.0,2.7,3.3,16.0,0.564,19.5,1.0,0.7090909090909091,0.27586206896551724,UTA
Derrick Favors,0.0,20.0,-0.8,0.5,1.6,0.436,1376.0,-1.3,1.4,17.1,0.537,20.7,0.4,0.36363636363636365,0.5517241379310345,UTA
C.J. Miles,0.323,24.0,-1.7,-1.5,0.8,0.292,1145.0,-0.2,0.7,12.4,0.484,22.7,0.1,0.23636363636363633,0.27586206896551724,UTA
Earl Watson,0.325,32.0,-1.5,1.0,0.9,0.288,1033.0,-2.5,-0.6,9.5,0.413,11.5,0.1,0.0,0.3103448275862069,UTA
Josh Howard,0.102,31.0,-3.4,-0.9,0.7,0.269,991.0,-2.6,-0.2,10.5,0.461,20.7,-0.4,0.07272727272727272,0.24137931034482757,UTA
Alec Burks,0.126,20.0,-2.5,-2.2,0.4,0.401,939.0,-0.2,1.1,14.0,0.506,22.5,-0.1,0.30909090909090914,0.13793103448275862,UTA
Enes Kanter,0.004,19.0,-4.7,-2.1,0.8,0.445,874.0,-2.6,0.9,14.5,0.539,17.3,-0.6,0.2727272727272727,0.27586206896551724,UTA
Raja Bell,0.5,35.0,-1.1,-1.6,0.1,0.144,796.0,0.5,1.0,8.3,0.586,11.6,0.2,0.29090909090909095,0.034482758620689655,UTA
Jamaal Tinsley,0.262,33.0,-4.8,-2.2,0.3,0.121,507.0,-2.6,-0.2,10.9,0.461,17.8,-0.4,0.07272727272727272,0.10344827586206896,UTA
DeMarre Carroll,0.192,25.0,-1.5,-1.1,0.2,0.162,327.0,-0.3,0.2,10.1,0.448,15.8,0.0,0.14545454545454548,0.06896551724137931,UTA
Jeremy Evans,0.024,24.0,5.7,4.7,0.3,0.381,217.0,1.0,0.6,19.6,0.632,11.2,0.4,0.21818181818181817,0.10344827586206896,UTA
Blake Ahearn,0.643,27.0,-16.3,-6.0,0.0,0.0,30.0,-10.3,-0.2,-7.3,0.357,28.4,-0.1,0.07272727272727272,0.0,UTA
