Name,3PAr,AGE,BPM,DBPM,DWS,FTr,MP,OBPM,OWS,PER,TS,USG,VORP,Norm_OWS,Norm_DWS,Team
John Wall,0.047,21.0,0.6,0.1,1.9,0.45,2386.0,0.5,1.7,17.7,0.502,24.9,1.6,1.0,1.0,WAS
Jordan Crawford,0.313,23.0,-2.3,-3.0,0.7,0.233,1753.0,0.7,0.3,14.5,0.488,28.1,-0.2,0.44000000000000006,0.3684210526315789,WAS
Chris Singleton,0.407,22.0,-1.0,1.2,1.5,0.141,1431.0,-2.2,0.1,8.3,0.462,11.5,0.4,0.36,0.7894736842105263,WAS
Trevor Booker,0.006,24.0,0.3,1.0,1.4,0.273,1261.0,-0.7,1.6,15.4,0.549,15.6,0.7,0.9600000000000002,0.7368421052631579,WAS
Nick Young,0.333,26.0,-3.2,-3.7,0.4,0.22,1211.0,0.6,1.1,14.2,0.513,26.1,-0.4,0.76,0.2105263157894737,WAS
Kevin Seraphin,0.003,22.0,-1.3,0.5,1.1,0.183,1176.0,-1.8,1.2,15.8,0.549,18.2,0.2,0.8,0.5789473684210527,WAS
JaVale McGee,0.0,24.0,0.0,1.6,1.6,0.29,1124.0,-1.6,1.2,19.6,0.539,20.7,0.6,0.8,0.8421052631578948,WAS
Jan Vesely,0.005,21.0,-0.2,1.4,1.0,0.284,1078.0,-1.6,0.7,11.5,0.544,12.7,0.5,0.6,0.5263157894736842,WAS
Shelvin Mack,0.191,21.0,-3.9,-1.8,0.5,0.268,779.0,-2.2,0.2,11.9,0.468,16.9,-0.4,0.4,0.2631578947368421,WAS
Rashard Lewis,0.303,32.0,-3.0,-0.8,0.4,0.167,729.0,-2.2,-0.2,9.3,0.457,16.5,-0.2,0.24000000000000005,0.2105263157894737,WAS
Roger Mason,0.597,31.0,-2.9,-3.3,0.2,0.105,697.0,0.4,0.6,12.1,0.53,19.4,-0.2,0.5599999999999999,0.10526315789473685,WAS
Andray Blatche,0.029,25.0,-5.1,-0.3,0.6,0.2,626.0,-4.8,-0.8,10.6,0.415,21.7,-0.5,0.0,0.3157894736842105,WAS
Cartier Martin,0.56,27.0,-1.7,-2.5,0.2,0.142,391.0,0.9,0.5,12.8,0.555,17.8,0.0,0.52,0.10526315789473685,WAS
Maurice Evans,0.402,33.0,-3.8,-2.6,0.1,0.116,343.0,-1.2,0.2,9.0,0.497,16.7,-0.2,0.4,0.052631578947368425,WAS
Nene Hilario,0.018,29.0,2.4,0.6,0.3,0.313,284.0,1.8,0.8,24.2,0.624,23.1,0.3,0.64,0.15789473684210525,WAS
James Singleton,0.12,30.0,2.3,1.0,0.3,0.2,262.0,1.3,0.7,19.6,0.6,15.6,0.3,0.6,0.15789473684210525,WAS
Brian Cook,0.469,31.0,-4.0,-1.6,0.2,0.122,155.0,-2.5,0.0,10.4,0.484,16.9,-0.1,0.32,0.10526315789473685,WAS
Morris Almond,0.176,26.0,-2.0,1.8,0.1,0.176,67.0,-3.8,-0.1,8.7,0.382,12.9,0.0,0.28,0.052631578947368425,WAS
Ronny Turiaf,0.0,29.0,2.3,6.2,0.1,0.0,58.0,-4.0,-0.1,10.8,1.0,6.9,0.1,0.28,0.052631578947368425,WAS
Edwin Ubiles,0.278,25.0,-8.8,-2.8,0.0,0.167,52.0,-6.0,-0.1,7.3,0.362,17.5,-0.1,0.28,0.0,WAS
Hamady N'Diaye,0.0,25.0,-20.4,-4.8,0.0,0.0,3.0,-15.6,0.0,-13.1,0.0,14.9,0.0,0.32,0.0,WAS
