Team,2010,2011,2012,2013,2014,2015,2016,2017
Atlanta Hawks,1625,1665,1569,1564,1682,1665,1580,1472
Los Angeles Lakers,1698,1678,1657,1470,1383,1390,1492,1539
Charlotte Hornets,1524,1248,1442,1625,1476,1675,1530,1546
Houston Rockets,1664,1584,1637,1690,1784,1623,1698,1874
Golden State Warriors,1586,1442,1694,1712,1925,1864,1953,1666
Memphis Grizzlies,1720,1712,1758,1726,1729,1510,1561,1387
Miami Heat,1817,1830,1872,1720,1552,1687,1675,1593
Toronto Raptors,1386,1505,1595,1652,1560,1729,1656,1782
New Orleans Pelicans,1624,1533,1474,1557,1638,1478,1582,1701
Detroit Pistons,1500,1529,1485,1433,1543,1610,1515,1558
Sacramento Kings,1532,1491,1487,1490,1474,1518,1520,1464
Denver Nuggets,1678,1686,1763,1572,1499,1518,1646,1713
Washington Wizards,1452,1527,1521,1656,1641,1615,1677,1585
Dallas Mavericks,1881,1580,1667,1712,1652,1600,1530,1418
Oklahoma City Thunder,1747,1788,1720,1766,1659,1806,1626,1696
New York Knicks,1550,1658,1685,1654,1376,1465,1479,1420
Phoenix Suns,1581,1642,1441,1675,1546,1434,1421,1362
Philadelphia 76ers,1582,1657,1539,1347,1356,1285,1440,1772
Minnesota Timberwolves,1340,1447,1521,1591,1343,1549,1513,1625
Brooklyn Nets,1398,1458,1646,1634,1609,1375,1456,1513
San Antonio Spurs,1672,1847,1819,1864,1783,1805,1720,1665
Portland Trail Blazers,1695,1499,1456,1711,1601,1725,1645,1696
Chicago Bulls,1769,1696,1638,1651,1666,1583,1600,1445
Cleveland Cavaliers,1427,1425,1419,1551,1830,1862,1759,1707
Utah Jazz,1521,1652,1636,1429,1640,1595,1701,1770
Boston Celtics,1675,1725,1578,1394,1645,1662,1684,1671
Milwaukee Bucks,1578,1570,1500,1333,1574,1503,1616,1627
Indiana Pacers,1572,1696,1733,1662,1627,1655,1561,1699
Orlando Magic,1642,1556,1349,1428,1427,1535,1464,1404
Los Angeles Clippers,1564,1674,1699,1731,1780,1679,1700,1630
